exp_id,data,kg,seed,data_label,kg_label,f1,precision,recall,epoch
ABL_CUR_CUR_s123,CUR,CUR,123,Curated,Curated (15k),0.606,0.6127,0.5995,10
ABL_CUR_CUR_s2024,CUR,CUR,2024,Curated,Curated (15k),0.6085,0.6249,0.5929,7
ABL_CUR_CUR_s42,CUR,CUR,42,Curated,Curated (15k),0.6078,0.6136,0.602,10
ABL_CUR_CUR_s456,CUR,CUR,456,Curated,Curated (15k),0.6192,0.6364,0.6028,7
ABL_CUR_CUR_s789,CUR,CUR,789,Curated,Curated (15k),0.6084,0.6228,0.5945,8
ABL_CUR_GEN_s123,CUR,GEN,123,Curated,Generic (3.4M),0.5954,0.6093,0.5822,9
ABL_CUR_GEN_s2024,CUR,GEN,2024,Curated,Generic (3.4M),0.584,0.599,0.5698,8
ABL_CUR_GEN_s42,CUR,GEN,42,Curated,Generic (3.4M),0.5766,0.588,0.5656,8
ABL_CUR_GEN_s456,CUR,GEN,456,Curated,Generic (3.4M),0.5799,0.5921,0.5681,9
ABL_CUR_GEN_s789,CUR,GEN,789,Curated,Generic (3.4M),0.58,0.597,0.564,9
ABL_CUR_NOKG_s123,CUR,NOKG,123,Curated,None,0.6157,0.6196,0.6119,10
ABL_CUR_NOKG_s2024,CUR,NOKG,2024,Curated,None,0.6085,0.6152,0.602,10
ABL_CUR_NOKG_s42,CUR,NOKG,42,Curated,None,0.6047,0.6134,0.5962,10
ABL_CUR_NOKG_s456,CUR,NOKG,456,Curated,None,0.6117,0.614,0.6094,10
ABL_CUR_NOKG_s789,CUR,NOKG,789,Curated,None,0.6089,0.6084,0.6094,10
ABL_RAW_CUR_s123,RAW,CUR,123,Raw,Curated (15k),0.6519,0.6881,0.6193,10
ABL_RAW_CUR_s2024,RAW,CUR,2024,Raw,Curated (15k),0.6549,0.6819,0.6301,10
ABL_RAW_CUR_s42,RAW,CUR,42,Raw,Curated (15k),0.6481,0.6838,0.616,8
ABL_RAW_CUR_s456,RAW,CUR,456,Raw,Curated (15k),0.6547,0.6767,0.6342,9
ABL_RAW_CUR_s789,RAW,CUR,789,Raw,Curated (15k),0.6502,0.6726,0.6292,9
ABL_RAW_GEN_s123,RAW,GEN,123,Raw,Generic (3.4M),0.651,0.6743,0.6292,9
ABL_RAW_GEN_s2024,RAW,GEN,2024,Raw,Generic (3.4M),0.6547,0.6776,0.6334,9
ABL_RAW_GEN_s42,RAW,GEN,42,Raw,Generic (3.4M),0.6236,0.6477,0.6012,9
ABL_RAW_GEN_s456,RAW,GEN,456,Raw,Generic (3.4M),0.3458,0.3637,0.3295,7
ABL_RAW_GEN_s789,RAW,GEN,789,Raw,Generic (3.4M),0.6584,0.6864,0.6325,10
ABL_RAW_NOKG_s123,RAW,NOKG,123,Raw,None,0.6652,0.7015,0.6325,10
ABL_RAW_NOKG_s2024,RAW,NOKG,2024,Raw,None,0.6546,0.686,0.6259,10
ABL_RAW_NOKG_s42,RAW,NOKG,42,Raw,None,0.6493,0.6708,0.6292,10
ABL_RAW_NOKG_s456,RAW,NOKG,456,Raw,None,0.6542,0.6755,0.6342,9
ABL_RAW_NOKG_s789,RAW,NOKG,789,Raw,None,0.6592,0.6892,0.6317,10
