exp_id,data,kg,seed,f1_overall,f1_PER,f1_LOC,f1_ORG,precision_PER,recall_PER,precision_LOC,recall_LOC,precision_ORG,recall_ORG
ABL_CUR_CUR_s2024,CUR,CUR,2024,0.6022,0.5212,0.5441,0.3732,0.5051,0.5383,0.5409,0.5474,0.412,0.3411
ABL_RAW_CUR_s42,RAW,CUR,42,0.6396,0.5209,0.5366,0.4692,0.5232,0.5186,0.5379,0.5353,0.5465,0.4111
ABL_RAW_NOKG_s123,RAW,NOKG,123,0.6652,0.5536,0.5931,0.4526,0.5649,0.5427,0.6051,0.5815,0.5271,0.3965
ABL_CUR_GEN_s123,CUR,GEN,123,0.5783,0.4895,0.5292,0.3514,0.4725,0.5077,0.5187,0.5401,0.4023,0.312
ABL_CUR_GEN_s2024,CUR,GEN,2024,0.5779,0.4841,0.5226,0.3501,0.4701,0.4989,0.5245,0.5207,0.3942,0.3149
ABL_RAW_CUR_s123,RAW,CUR,123,0.6519,0.5357,0.5757,0.4551,0.5467,0.5252,0.5928,0.5596,0.529,0.3994
ABL_CUR_CUR_s42,CUR,CUR,42,0.6078,0.5152,0.5332,0.3675,0.496,0.5361,0.5287,0.5377,0.4154,0.3294
ABL_RAW_CUR_s456,RAW,CUR,456,0.6504,0.5564,0.593,0.4397,0.557,0.5558,0.5922,0.5937,0.5076,0.3878
ABL_CUR_NOKG_s2024,CUR,NOKG,2024,0.6085,0.5249,0.5443,0.3949,0.5082,0.5427,0.5437,0.545,0.4351,0.3615
ABL_RAW_GEN_s789,RAW,GEN,789,0.6584,0.538,0.5509,0.4336,0.5333,0.5427,0.562,0.5401,0.5119,0.3761
ABL_CUR_GEN_s42,CUR,GEN,42,0.5726,0.4936,0.512,0.3307,0.4803,0.5077,0.5035,0.5207,0.3679,0.3003
ABL_CUR_NOKG_s789,CUR,NOKG,789,0.6089,0.5295,0.5465,0.3783,0.502,0.5602,0.5297,0.5645,0.434,0.3353
ABL_CUR_CUR_s456,CUR,CUR,456,0.6062,0.5257,0.5427,0.3737,0.504,0.5492,0.5225,0.5645,0.4422,0.3236
ABL_RAW_NOKG_s2024,RAW,NOKG,2024,0.6546,0.5507,0.5626,0.4565,0.5815,0.523,0.5514,0.5742,0.5226,0.4052
ABL_RAW_GEN_s2024,RAW,GEN,2024,0.6529,0.5372,0.5612,0.461,0.5548,0.5208,0.5704,0.5523,0.5201,0.414
ABL_RAW_NOKG_s789,RAW,NOKG,789,0.6592,0.5498,0.5757,0.4186,0.5504,0.5492,0.5873,0.5645,0.4865,0.3673
ABL_CUR_GEN_s456,CUR,GEN,456,0.574,0.4942,0.5103,0.3445,0.4794,0.5098,0.4837,0.5401,0.4039,0.3003
ABL_RAW_GEN_s42,RAW,GEN,42,0.6215,0.5005,0.5418,0.4426,0.4978,0.5033,0.5564,0.528,0.5155,0.3878
ABL_CUR_GEN_s789,CUR,GEN,789,0.5717,0.4969,0.5059,0.3498,0.4733,0.523,0.492,0.5207,0.3846,0.3207
ABL_RAW_GEN_s456,RAW,GEN,456,0.3372,0.3638,0.3399,0.1073,0.3667,0.3611,0.3441,0.3358,0.1213,0.0962
ABL_RAW_CUR_s789,RAW,CUR,789,0.6437,0.5437,0.5576,0.424,0.5425,0.5449,0.5682,0.5474,0.4961,0.3703
ABL_RAW_CUR_s2024,RAW,CUR,2024,0.6549,0.5418,0.5625,0.4517,0.5594,0.5252,0.5558,0.5693,0.5149,0.4023
ABL_RAW_NOKG_s42,RAW,NOKG,42,0.6493,0.5288,0.5556,0.4767,0.526,0.5317,0.5516,0.5596,0.5564,0.4169
ABL_CUR_NOKG_s123,CUR,NOKG,123,0.6157,0.522,0.564,0.3711,0.501,0.5449,0.5497,0.5791,0.4248,0.3294
ABL_RAW_NOKG_s456,RAW,NOKG,456,0.6462,0.5551,0.5904,0.4507,0.5588,0.5514,0.5847,0.5961,0.517,0.3994
ABL_CUR_CUR_s789,CUR,CUR,789,0.6079,0.5281,0.5525,0.3693,0.503,0.5558,0.5478,0.5572,0.4201,0.3294
ABL_CUR_CUR_s123,CUR,CUR,123,0.606,0.5127,0.5588,0.3732,0.4949,0.5317,0.5508,0.5669,0.4254,0.3324
ABL_RAW_GEN_s123,RAW,GEN,123,0.6461,0.5495,0.5509,0.4314,0.5519,0.547,0.5703,0.5328,0.5059,0.3761
ABL_CUR_NOKG_s42,CUR,NOKG,42,0.6047,0.5163,0.5446,0.3636,0.496,0.5383,0.5394,0.5499,0.4198,0.3207
ABL_CUR_NOKG_s456,CUR,NOKG,456,0.6117,0.5235,0.5444,0.381,0.5,0.5492,0.53,0.5596,0.4361,0.3382
