exp_id,data,kg,seed,best_epoch,f1_overall,precision_overall,recall_overall,f1_PER,f1_LOC,f1_ORG,precision_PER,precision_LOC,precision_ORG,recall_PER,recall_LOC,recall_ORG
CUR_NOKG_s42,CUR,NOKG,42,10,0.6047,0.6134,0.5962,0.5163,0.5446,0.3636,0.496,0.5394,0.4198,0.5383,0.5499,0.3207
CUR_NOKG_s123,CUR,NOKG,123,10,0.6157,0.6196,0.6119,0.522,0.564,0.3711,0.501,0.5497,0.4248,0.5449,0.5791,0.3294
CUR_NOKG_s456,CUR,NOKG,456,10,0.6117,0.614,0.6094,0.5235,0.5444,0.381,0.5,0.53,0.4361,0.5492,0.5596,0.3382
CUR_NOKG_s789,CUR,NOKG,789,10,0.6089,0.6084,0.6094,0.5295,0.5465,0.3783,0.502,0.5297,0.434,0.5602,0.5645,0.3353
CUR_NOKG_s2024,CUR,NOKG,2024,10,0.6085,0.6152,0.602,0.5249,0.5443,0.3949,0.5082,0.5437,0.4351,0.5427,0.545,0.3615
CUR_GEN_s42,CUR,GEN,42,8,0.5766,0.588,0.5656,0.4929,0.5089,0.3418,0.4913,0.5303,0.3519,0.4945,0.4891,0.3324
CUR_GEN_s123,CUR,GEN,123,9,0.5954,0.6093,0.5822,0.5134,0.5481,0.3583,0.5042,0.5488,0.4059,0.523,0.5474,0.3207
CUR_GEN_s456,CUR,GEN,456,9,0.5799,0.5921,0.5681,0.5109,0.5199,0.3483,0.5098,0.5011,0.4038,0.512,0.5401,0.3061
CUR_GEN_s789,CUR,GEN,789,9,0.58,0.597,0.564,0.5205,0.5247,0.3265,0.5139,0.5476,0.3537,0.5274,0.5036,0.3032
CUR_GEN_s2024,CUR,GEN,2024,8,0.584,0.599,0.5698,0.4871,0.5302,0.3466,0.4779,0.5628,0.3657,0.4967,0.5012,0.3294
CUR_CUR_s42,CUR,CUR,42,10,0.6078,0.6136,0.602,0.5152,0.5332,0.3675,0.496,0.5287,0.4154,0.5361,0.5377,0.3294
CUR_CUR_s123,CUR,CUR,123,10,0.606,0.6127,0.5995,0.5127,0.5588,0.3732,0.4949,0.5508,0.4254,0.5317,0.5669,0.3324
CUR_CUR_s456,CUR,CUR,456,7,0.6192,0.6364,0.6028,0.5162,0.5477,0.3939,0.494,0.6108,0.4135,0.5405,0.4964,0.3761
CUR_CUR_s789,CUR,CUR,789,8,0.6084,0.6228,0.5945,0.5132,0.5551,0.3993,0.48,0.5944,0.4552,0.5514,0.5207,0.3557
CUR_CUR_s2024,CUR,CUR,2024,7,0.6085,0.6249,0.5929,0.5093,0.5378,0.4052,0.4833,0.5676,0.461,0.5383,0.5109,0.3615
RAW_NOKG_s42,RAW,NOKG,42,10,0.6493,0.6708,0.6292,0.5288,0.5556,0.4767,0.526,0.5516,0.5564,0.5317,0.5596,0.4169
RAW_NOKG_s123,RAW,NOKG,123,10,0.6652,0.7015,0.6325,0.5536,0.5931,0.4526,0.5649,0.6051,0.5271,0.5427,0.5815,0.3965
RAW_NOKG_s456,RAW,NOKG,456,9,0.6542,0.6755,0.6342,0.5579,0.5921,0.4342,0.5474,0.5857,0.5248,0.5689,0.5985,0.3703
RAW_NOKG_s789,RAW,NOKG,789,10,0.6592,0.6892,0.6317,0.5498,0.5757,0.4186,0.5504,0.5873,0.4865,0.5492,0.5645,0.3673
RAW_NOKG_s2024,RAW,NOKG,2024,10,0.6546,0.686,0.6259,0.5507,0.5626,0.4565,0.5815,0.5514,0.5226,0.523,0.5742,0.4052
RAW_GEN_s42,RAW,GEN,42,9,0.6236,0.6477,0.6012,0.5011,0.5333,0.433,0.4828,0.5521,0.5272,0.5208,0.5158,0.3673
RAW_GEN_s123,RAW,GEN,123,9,0.651,0.6743,0.6292,0.5441,0.5477,0.4061,0.5232,0.5662,0.4839,0.5667,0.5304,0.3499
RAW_GEN_s456,RAW,GEN,456,7,0.3458,0.3637,0.3295,0.3684,0.3316,0.1007,0.3648,0.3485,0.1186,0.372,0.3163,0.0875
RAW_GEN_s789,RAW,GEN,789,10,0.6584,0.6864,0.6325,0.538,0.5509,0.4336,0.5333,0.562,0.5119,0.5427,0.5401,0.3761
RAW_GEN_s2024,RAW,GEN,2024,9,0.6547,0.6776,0.6334,0.5603,0.5411,0.4647,0.556,0.5632,0.516,0.5646,0.5207,0.4227
RAW_CUR_s42,RAW,CUR,42,8,0.6481,0.6838,0.616,0.527,0.5359,0.4513,0.501,0.5664,0.5924,0.5558,0.5085,0.3644
RAW_CUR_s123,RAW,CUR,123,10,0.6519,0.6881,0.6193,0.5357,0.5757,0.4551,0.5467,0.5928,0.529,0.5252,0.5596,0.3994
RAW_CUR_s456,RAW,CUR,456,9,0.6547,0.6767,0.6342,0.5486,0.5845,0.4345,0.5354,0.5803,0.5316,0.5624,0.5888,0.3673
RAW_CUR_s789,RAW,CUR,789,9,0.6502,0.6726,0.6292,0.5246,0.5543,0.4337,0.4933,0.5833,0.5294,0.5602,0.528,0.3673
RAW_CUR_s2024,RAW,CUR,2024,10,0.6549,0.6819,0.6301,0.5418,0.5625,0.4517,0.5594,0.5558,0.5149,0.5252,0.5693,0.4023
