data,kg,entity,mean,std,min,max,n
CUR,CUR,overall,0.6060199999999999,0.002309112383579474,0.6022,0.6079,5
CUR,CUR,PER,0.52058,0.006599015078024883,0.5127,0.5281,5
CUR,CUR,LOC,0.54626,0.009799132614675635,0.5332,0.5588,5
CUR,CUR,ORG,0.37137999999999993,0.0028012497211066215,0.3675,0.3737,5
RAW,CUR,overall,0.6481,0.006276543634835999,0.6396,0.6549,5
RAW,CUR,PER,0.5397,0.012930003866975437,0.5209,0.5564,5
RAW,CUR,LOC,0.5650799999999999,0.021012067961055144,0.5366,0.593,5
RAW,CUR,ORG,0.44794,0.017017726052560616,0.424,0.4692,5
RAW,NOKG,overall,0.6548999999999999,0.00761117599323522,0.6462,0.6652,5
RAW,NOKG,PER,0.5475999999999999,0.010725437054031856,0.5288,0.5551,5
RAW,NOKG,LOC,0.57548,0.016539558639818663,0.5556,0.5931,5
RAW,NOKG,ORG,0.45102000000000003,0.020875511969769743,0.4186,0.4767,5
CUR,GEN,overall,0.5749,0.003037268509697498,0.5717,0.5783,5
CUR,GEN,PER,0.49166,0.004987283829901811,0.4841,0.4969,5
CUR,GEN,LOC,0.516,0.009595571895410916,0.5059,0.5292,5
CUR,GEN,ORG,0.34530000000000005,0.008577587073297482,0.3307,0.3514,5
CUR,NOKG,overall,0.6099,0.004089009660052177,0.6047,0.6157,5
CUR,NOKG,PER,0.5232399999999999,0.004788319120526532,0.5163,0.5295,5
CUR,NOKG,LOC,0.5487599999999999,0.008566971460206907,0.5443,0.564,5
CUR,NOKG,ORG,0.37777999999999995,0.011719940272885351,0.3636,0.3949,5
RAW,GEN,overall,0.5832200000000001,0.13825016094023182,0.3372,0.6584,5
RAW,GEN,PER,0.4978000000000001,0.07714366467831302,0.3638,0.5495,5
RAW,GEN,LOC,0.50894,0.09474530595232673,0.3399,0.5612,5
RAW,GEN,ORG,0.37518,0.1502030359213821,0.1073,0.461,5
