epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4701,0.2088,0.2891,0.0000,0.0000,0.0000,1.0000,0.0172,0.0338,0.1413,0.2158,0.1708,267,568,1279,2026-01-11T03:33:05.872729
1,test,0.4475,0.2040,0.2802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1220,0.1953,0.1502,247,552,1211,2026-01-11T03:35:17.302218
2,dev,0.5557,0.2494,0.3443,0.0000,0.0000,0.0000,0.5083,0.1312,0.2085,0.1598,0.1913,0.1741,319,574,1279,2026-01-11T03:46:23.845709
2,test,0.4851,0.2155,0.2985,0.0000,0.0000,0.0000,0.3558,0.0900,0.1437,0.1455,0.1808,0.1612,261,538,1211,2026-01-11T03:48:35.065111
3,dev,0.5949,0.3284,0.4232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1466,0.2787,0.1921,420,706,1279,2026-01-11T03:59:41.737595
3,test,0.5412,0.3039,0.3892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1501,0.2945,0.1988,368,680,1211,2026-01-11T04:01:53.241085
4,dev,0.5406,0.4058,0.4636,0.0000,0.0000,0.0000,0.8571,0.0129,0.0254,0.1374,0.3525,0.1977,519,960,1279,2026-01-11T04:13:00.166094
4,test,0.5060,0.3832,0.4361,0.0000,0.0000,0.0000,0.3333,0.0024,0.0048,0.1515,0.3994,0.2197,464,917,1211,2026-01-11T04:15:11.803263
5,dev,0.5769,0.4253,0.4896,0.0000,0.0000,0.0000,0.6667,0.0086,0.0170,0.1539,0.3907,0.2208,544,943,1279,2026-01-11T04:26:18.799182
5,test,0.5310,0.4104,0.4630,0.0000,0.0000,0.0000,0.5000,0.0122,0.0238,0.1600,0.4286,0.2330,497,936,1211,2026-01-11T04:28:30.387483
6,dev,0.5826,0.4386,0.5004,0.0000,0.0000,0.0000,0.7317,0.1290,0.2194,0.1701,0.4044,0.2395,561,963,1279,2026-01-11T04:39:37.408252
6,test,0.5597,0.4335,0.4886,0.0000,0.0000,0.0000,0.6000,0.0949,0.1639,0.1717,0.4315,0.2456,525,938,1211,2026-01-11T04:41:49.182217
7,dev,0.5679,0.4183,0.4818,0.0000,0.0000,0.0000,0.8571,0.0129,0.0254,0.1563,0.3907,0.2233,535,942,1279,2026-01-11T04:52:56.080885
7,test,0.5425,0.4112,0.4678,0.0000,0.0000,0.0000,0.6250,0.0122,0.0239,0.1693,0.4402,0.2445,498,918,1211,2026-01-11T04:55:07.778601
8,dev,0.6294,0.5324,0.5769,0.0000,0.0000,0.0000,1.0000,0.0065,0.0128,0.1768,0.5164,0.2634,681,1082,1279,2026-01-11T05:06:14.883211
8,test,0.6338,0.5516,0.5898,0.0000,0.0000,0.0000,0.6667,0.0097,0.0192,0.1902,0.5743,0.2857,668,1054,1211,2026-01-11T05:08:26.622999
9,dev,0.6744,0.5668,0.6160,0.0000,0.0000,0.0000,1.0000,0.0022,0.0043,0.1877,0.5492,0.2797,725,1075,1279,2026-01-11T05:19:33.984698
9,test,0.6485,0.5590,0.6004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1975,0.5948,0.2965,677,1044,1211,2026-01-11T05:21:45.920147
10,dev,0.6186,0.5973,0.6078,0.3894,0.0982,0.1569,0.3128,0.6344,0.4190,0.5238,0.2404,0.3296,764,1235,1279,2026-01-11T05:32:53.231112
10,test,0.6233,0.5929,0.6077,0.4923,0.1400,0.2181,0.2601,0.5304,0.3491,0.4800,0.2449,0.3243,718,1152,1211,2026-01-11T05:35:05.212774
10,test,0.6233,0.5929,0.6077,0.4923,0.1400,0.2181,0.2601,0.5304,0.3491,0.4800,0.2449,0.3243,718,1152,1211,2026-01-11T05:37:17.176544
