epoch,step,loss,timestamp
1,100,1.148952,2026-01-11T05:41:48.975161
1,200,0.966158,2026-01-11T05:45:23.399037
2,100,1.228094,2026-01-11T05:55:08.328035
2,200,0.741879,2026-01-11T05:58:42.667675
3,100,1.089657,2026-01-11T06:08:27.528577
3,200,0.672617,2026-01-11T06:12:01.820488
4,100,0.984147,2026-01-11T06:21:46.728893
4,200,0.621641,2026-01-11T06:25:21.104797
5,100,0.920430,2026-01-11T06:35:06.403642
5,200,0.554370,2026-01-11T06:38:40.604835
6,100,0.855678,2026-01-11T06:48:26.277621
6,200,0.514880,2026-01-11T06:52:00.500210
7,100,0.802011,2026-01-11T07:01:46.036891
7,200,0.484159,2026-01-11T07:05:20.229503
8,100,0.746296,2026-01-11T07:15:05.755116
8,200,0.500006,2026-01-11T07:18:39.892091
9,100,0.788881,2026-01-11T07:28:25.303089
9,200,0.666559,2026-01-11T07:31:59.615443
10,100,0.979935,2026-01-11T07:41:45.287645
10,200,0.979473,2026-01-11T07:45:19.457526
