epoch,step,loss,timestamp
1,100,1.298427,2026-01-10T22:49:34.322862
1,200,1.027921,2026-01-10T22:53:09.064370
2,100,1.366875,2026-01-10T23:03:02.794668
2,200,0.727839,2026-01-10T23:06:37.408929
3,100,1.112095,2026-01-10T23:16:35.007802
3,200,0.627000,2026-01-10T23:20:09.429045
4,100,0.979992,2026-01-10T23:30:06.572565
4,200,0.594784,2026-01-10T23:33:40.937090
5,100,0.936931,2026-01-10T23:43:43.343153
5,200,0.516355,2026-01-10T23:47:17.866705
6,100,0.864282,2026-01-10T23:57:22.874503
6,200,0.498121,2026-01-11T00:00:57.211935
7,100,0.811137,2026-01-11T00:11:03.916540
7,200,0.467793,2026-01-11T00:14:38.295775
8,100,0.800436,2026-01-11T00:24:30.072955
8,200,0.484205,2026-01-11T00:28:04.429343
9,100,0.823921,2026-01-11T00:38:06.549419
9,200,0.580981,2026-01-11T00:41:40.978229
10,100,0.958146,2026-01-11T00:51:53.958981
10,200,0.834428,2026-01-11T00:55:28.323531
