epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.2345,0.0649,0.1017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0565,0.0546,0.0556,83,354,1279,2026-01-10T22:57:13.945510
1,test,0.2268,0.0727,0.1101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0412,0.0466,0.0438,88,388,1211,2026-01-10T22:59:29.745896
2,dev,0.3041,0.1955,0.2380,0.0000,0.0000,0.0000,0.6279,0.0581,0.1063,0.0579,0.1230,0.0787,250,822,1279,2026-01-10T23:10:44.068218
2,test,0.2722,0.1850,0.2203,0.0000,0.0000,0.0000,0.5862,0.0414,0.0773,0.0468,0.1079,0.0653,224,823,1211,2026-01-10T23:13:01.988060
3,dev,0.3616,0.2267,0.2787,0.4000,0.0089,0.0175,0.3770,0.2043,0.2650,0.0710,0.1038,0.0844,290,802,1279,2026-01-10T23:24:15.827719
3,test,0.3043,0.1932,0.2364,0.6000,0.0066,0.0130,0.2165,0.1022,0.1388,0.0622,0.1020,0.0773,234,769,1211,2026-01-10T23:26:33.738976
4,dev,0.3137,0.2580,0.2831,0.0000,0.0000,0.0000,0.7586,0.0946,0.1683,0.0605,0.1639,0.0884,330,1052,1279,2026-01-10T23:37:50.241740
4,test,0.2543,0.2197,0.2357,0.0000,0.0000,0.0000,0.4615,0.0292,0.0549,0.0423,0.1254,0.0633,266,1046,1211,2026-01-10T23:40:10.397127
5,dev,0.3276,0.2830,0.3037,1.0000,0.0022,0.0045,0.6286,0.1419,0.2316,0.0603,0.1639,0.0882,362,1105,1279,2026-01-10T23:51:28.090676
5,test,0.2736,0.2461,0.2591,0.5000,0.0022,0.0044,0.3788,0.0608,0.1048,0.0475,0.1399,0.0710,298,1089,1211,2026-01-10T23:53:50.027232
6,dev,0.3118,0.2674,0.2879,0.0000,0.0000,0.0000,0.6939,0.0731,0.1323,0.0489,0.1393,0.0723,342,1097,1279,2026-01-11T00:05:08.299109
6,test,0.2526,0.2230,0.2368,0.0000,0.0000,0.0000,0.5938,0.0462,0.0858,0.0379,0.1137,0.0569,270,1069,1211,2026-01-11T00:07:31.112697
7,dev,0.5164,0.4543,0.4834,0.0000,0.0000,0.0000,0.6909,0.0817,0.1462,0.1246,0.3607,0.1853,581,1125,1279,2026-01-11T00:18:42.119560
7,test,0.4667,0.4170,0.4405,0.0000,0.0000,0.0000,0.4878,0.0487,0.0885,0.1164,0.3499,0.1747,505,1082,1211,2026-01-11T00:20:57.258705
8,dev,0.4019,0.3604,0.3800,0.0000,0.0000,0.0000,0.8235,0.0301,0.0581,0.0838,0.2568,0.1263,461,1147,1279,2026-01-11T00:32:13.801284
8,test,0.3847,0.3402,0.3611,0.0000,0.0000,0.0000,0.8000,0.0195,0.0380,0.0860,0.2653,0.1299,412,1071,1211,2026-01-11T00:34:33.605863
9,dev,0.3415,0.3041,0.3218,0.0000,0.0000,0.0000,0.6930,0.1699,0.2729,0.0600,0.1667,0.0882,389,1139,1279,2026-01-11T00:45:55.683033
9,test,0.3047,0.2692,0.2858,0.0000,0.0000,0.0000,0.5082,0.0754,0.1314,0.0589,0.1720,0.0878,326,1070,1211,2026-01-11T00:48:21.044480
10,dev,0.4873,0.4504,0.4681,0.3270,0.2701,0.2958,0.3786,0.4860,0.4256,0.1471,0.0820,0.1053,576,1182,1279,2026-01-11T00:59:36.374391
10,test,0.4766,0.4294,0.4518,0.3617,0.2604,0.3028,0.3224,0.4063,0.3595,0.2251,0.1516,0.1812,520,1091,1211,2026-01-11T01:01:54.985890
10,test,0.4766,0.4294,0.4518,0.3617,0.2604,0.3028,0.3224,0.4063,0.3595,0.2251,0.1516,0.1812,520,1091,1211,2026-01-11T01:04:13.736590
