epoch,step,loss,timestamp
1,100,1.087458,2026-01-10T15:58:39.676842
1,200,0.899777,2026-01-10T16:02:14.001856
2,100,1.157937,2026-01-10T16:11:59.252562
2,200,0.714990,2026-01-10T16:15:33.588996
3,100,1.053981,2026-01-10T16:25:19.085467
3,200,0.628410,2026-01-10T16:28:53.538694
4,100,0.984358,2026-01-10T16:38:38.518540
4,200,0.608883,2026-01-10T16:42:12.908067
5,100,0.953761,2026-01-10T16:51:58.395232
5,200,0.531395,2026-01-10T16:55:32.749103
6,100,0.937834,2026-01-10T17:05:18.671743
6,200,0.540485,2026-01-10T17:08:53.062226
7,100,0.899797,2026-01-10T17:18:39.362503
7,200,0.545091,2026-01-10T17:22:13.654747
8,100,0.858559,2026-01-10T17:31:59.908252
8,200,0.637979,2026-01-10T17:35:34.268573
9,100,0.892705,2026-01-10T17:45:20.566334
9,200,0.758034,2026-01-10T17:48:54.938930
10,100,1.078310,2026-01-10T17:58:41.457978
10,200,0.970153,2026-01-10T18:02:15.845470
