epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4215,0.1931,0.2649,0.0000,0.0000,0.0000,0.7647,0.0280,0.0539,0.1388,0.2158,0.1690,247,586,1279,2026-01-10T16:06:14.582448
1,test,0.4000,0.1916,0.2591,0.0000,0.0000,0.0000,0.5000,0.0049,0.0096,0.1302,0.2187,0.1632,232,580,1211,2026-01-10T16:08:26.390563
2,dev,0.5043,0.2283,0.3143,0.0000,0.0000,0.0000,0.7018,0.0860,0.1533,0.1264,0.1803,0.1486,292,579,1279,2026-01-10T16:19:34.225646
2,test,0.4783,0.2180,0.2995,0.0000,0.0000,0.0000,0.7105,0.0657,0.1203,0.1362,0.2041,0.1634,264,552,1211,2026-01-10T16:21:46.157458
3,dev,0.6812,0.2924,0.4092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1767,0.2650,0.2120,374,549,1279,2026-01-10T16:32:53.892816
3,test,0.6757,0.2874,0.4032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1942,0.2915,0.2331,348,515,1211,2026-01-10T16:35:05.667442
4,dev,0.6497,0.3698,0.4714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1813,0.3607,0.2413,473,728,1279,2026-01-10T16:46:13.580726
4,test,0.6453,0.3815,0.4795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1969,0.4111,0.2663,462,716,1211,2026-01-10T16:48:25.488303
5,dev,0.6722,0.4762,0.5574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1854,0.4590,0.2642,609,906,1279,2026-01-10T16:59:33.620988
5,test,0.6775,0.4822,0.5634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2030,0.5102,0.2905,584,862,1211,2026-01-10T17:01:45.747600
6,dev,0.6370,0.4816,0.5485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1696,0.4481,0.2461,616,967,1279,2026-01-10T17:12:54.013583
6,test,0.6154,0.4690,0.5323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1831,0.4927,0.2670,568,923,1211,2026-01-10T17:15:06.469845
7,dev,0.6747,0.5254,0.5908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1807,0.4918,0.2643,672,996,1279,2026-01-10T17:26:14.730736
7,test,0.6765,0.5285,0.5934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1913,0.5277,0.2808,640,946,1211,2026-01-10T17:28:27.077767
8,dev,0.6737,0.5747,0.6203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1870,0.5574,0.2800,735,1091,1279,2026-01-10T17:39:35.346353
8,test,0.6689,0.5756,0.6187,0.0000,0.0000,0.0000,1.0000,0.0024,0.0049,0.1940,0.5889,0.2919,697,1042,1211,2026-01-10T17:41:47.741776
9,dev,0.6495,0.6028,0.6253,0.0000,0.0000,0.0000,0.5731,0.2108,0.3082,0.2089,0.5792,0.3070,771,1187,1279,2026-01-10T17:52:56.127000
9,test,0.6634,0.6135,0.6375,0.0000,0.0000,0.0000,0.3987,0.1533,0.2214,0.2110,0.5918,0.3111,743,1120,1211,2026-01-10T17:55:08.611790
10,dev,0.6322,0.5981,0.6147,0.3805,0.1741,0.2389,0.3694,0.5290,0.4350,0.3894,0.3607,0.3745,765,1210,1279,2026-01-10T18:06:17.073412
10,test,0.6355,0.5830,0.6081,0.4579,0.1904,0.2689,0.3133,0.4428,0.3669,0.4353,0.4315,0.4334,706,1111,1211,2026-01-10T18:08:29.420587
10,test,0.6355,0.5830,0.6081,0.4579,0.1904,0.2689,0.3133,0.4428,0.3669,0.4353,0.4315,0.4334,706,1111,1211,2026-01-10T18:10:41.806201
