epoch,step,loss,timestamp
1,100,1.610560,2026-01-12T12:39:43.461035
1,200,1.369448,2026-01-12T12:43:18.343514
2,100,1.745607,2026-01-12T12:53:05.945650
2,200,1.025688,2026-01-12T12:56:40.665109
3,100,1.348231,2026-01-12T13:06:27.229379
3,200,0.812627,2026-01-12T13:10:02.051397
4,100,1.110974,2026-01-12T13:19:49.167518
4,200,0.699375,2026-01-12T13:23:23.917738
5,100,0.949396,2026-01-12T13:33:11.075073
5,200,0.609993,2026-01-12T13:36:45.761613
6,100,0.820813,2026-01-12T13:46:32.884923
6,200,0.545845,2026-01-12T13:50:07.596049
7,100,0.716877,2026-01-12T13:59:54.864472
7,200,0.467405,2026-01-12T14:03:29.615930
8,100,0.634167,2026-01-12T14:13:16.912087
8,200,0.413078,2026-01-12T14:16:51.606575
9,100,0.566603,2026-01-12T14:26:39.230271
9,200,0.380393,2026-01-12T14:30:13.966597
10,100,0.530075,2026-01-12T14:40:01.386609
10,200,0.343583,2026-01-12T14:43:36.121368
