epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4417,0.4027,0.4213,0.2215,0.2946,0.2529,0.4432,0.3441,0.3874,0.3207,0.1612,0.2145,515,1166,1279,2026-01-12T12:47:20.181692
1,test,0.4500,0.4088,0.4284,0.2521,0.3217,0.2827,0.3600,0.2847,0.3179,0.3333,0.1662,0.2218,495,1100,1211,2026-01-12T12:49:32.764888
2,dev,0.4852,0.3339,0.3956,0.1688,0.1496,0.1586,0.5141,0.3914,0.4444,0.4472,0.1503,0.2249,427,880,1279,2026-01-12T13:00:41.796354
2,test,0.4630,0.3097,0.3711,0.2020,0.1772,0.1888,0.4657,0.3139,0.3750,0.4098,0.1458,0.2151,375,810,1211,2026-01-12T13:02:53.931131
3,dev,0.5714,0.4629,0.5114,0.3177,0.3170,0.3173,0.5430,0.4753,0.5069,0.5145,0.2432,0.3302,592,1036,1279,2026-01-12T13:14:03.487009
3,test,0.5545,0.4410,0.4913,0.3622,0.3479,0.3549,0.4588,0.3796,0.4154,0.4859,0.2507,0.3308,534,963,1211,2026-01-12T13:16:15.983257
4,dev,0.5868,0.4941,0.5365,0.4137,0.3103,0.3546,0.5133,0.4968,0.5049,0.4452,0.3443,0.3883,632,1077,1279,2026-01-12T13:27:25.396801
4,test,0.5696,0.4798,0.5208,0.4322,0.3348,0.3773,0.4490,0.3966,0.4212,0.3946,0.3382,0.3642,581,1020,1211,2026-01-12T13:29:37.911010
5,dev,0.6314,0.5598,0.5935,0.5196,0.4152,0.4615,0.5135,0.5333,0.5232,0.4246,0.3306,0.3717,716,1134,1279,2026-01-12T13:40:47.116846
5,test,0.6155,0.5524,0.5822,0.4974,0.4201,0.4555,0.4665,0.4574,0.4619,0.4286,0.3586,0.3905,669,1087,1211,2026-01-12T13:42:59.625511
6,dev,0.6040,0.5700,0.5865,0.4391,0.4665,0.4524,0.5543,0.5376,0.5459,0.4461,0.3279,0.3780,729,1207,1279,2026-01-12T13:54:08.929342
6,test,0.5938,0.5698,0.5815,0.4231,0.4814,0.4504,0.4896,0.4599,0.4743,0.4634,0.3324,0.3871,690,1162,1211,2026-01-12T13:56:21.593166
7,dev,0.6015,0.5794,0.5902,0.4131,0.4777,0.4431,0.6046,0.5097,0.5531,0.3987,0.3388,0.3663,741,1232,1279,2026-01-12T14:07:31.198899
7,test,0.5915,0.5714,0.5813,0.4186,0.5011,0.4562,0.5611,0.4355,0.4904,0.4209,0.3644,0.3906,692,1170,1211,2026-01-12T14:09:43.733006
8,dev,0.6075,0.5723,0.5894,0.4318,0.4665,0.4485,0.6322,0.4989,0.5577,0.3488,0.3279,0.3380,732,1205,1279,2026-01-12T14:20:53.364122
8,test,0.5870,0.5574,0.5718,0.4395,0.4923,0.4644,0.5906,0.3966,0.4745,0.3541,0.3644,0.3592,675,1150,1211,2026-01-12T14:23:05.974667
9,dev,0.6108,0.5927,0.6016,0.4988,0.4554,0.4761,0.5943,0.5419,0.5669,0.3476,0.3770,0.3617,758,1241,1279,2026-01-12T14:34:15.488502
9,test,0.5935,0.5764,0.5848,0.4837,0.4551,0.4690,0.5485,0.4404,0.4885,0.3374,0.4023,0.3670,698,1176,1211,2026-01-12T14:36:28.237262
10,dev,0.6417,0.5895,0.6145,0.4797,0.4754,0.4776,0.5818,0.5505,0.5657,0.4240,0.3279,0.3698,754,1175,1279,2026-01-12T14:47:37.701779
10,test,0.6432,0.5822,0.6112,0.4765,0.4661,0.4712,0.5465,0.4720,0.5065,0.4062,0.3411,0.3708,705,1096,1211,2026-01-12T14:49:50.392082
10,test,0.6432,0.5822,0.6112,0.4765,0.4661,0.4712,0.5465,0.4720,0.5065,0.4062,0.3411,0.3708,705,1096,1211,2026-01-12T14:52:03.017541
