epoch,step,loss,timestamp
1,100,1.645353,2026-01-12T08:03:03.057512
1,200,1.376924,2026-01-12T08:06:37.432366
2,100,1.723286,2026-01-12T08:16:35.001598
2,200,1.002488,2026-01-12T08:20:09.311397
3,100,1.298830,2026-01-12T08:30:10.851888
3,200,0.812608,2026-01-12T08:33:45.189675
4,100,1.089182,2026-01-12T08:43:48.880041
4,200,0.689091,2026-01-12T08:47:23.148132
5,100,0.932803,2026-01-12T08:57:27.785368
5,200,0.615557,2026-01-12T09:01:02.071540
6,100,0.833173,2026-01-12T09:11:09.853535
6,200,0.532683,2026-01-12T09:14:44.072087
7,100,0.721817,2026-01-12T09:24:52.004348
7,200,0.463827,2026-01-12T09:28:26.280009
8,100,0.667141,2026-01-12T09:38:34.038366
8,200,0.426869,2026-01-12T09:42:08.309437
9,100,0.607646,2026-01-12T09:52:15.321319
9,200,0.388863,2026-01-12T09:55:49.672890
10,100,0.570427,2026-01-12T10:05:58.287803
10,200,0.364344,2026-01-12T10:09:32.551800
