epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.3148,0.1681,0.2192,0.2007,0.1317,0.1590,0.4061,0.2000,0.2680,0.0342,0.0137,0.0195,215,683,1279,2026-01-12T08:10:44.290161
1,test,0.2500,0.1321,0.1729,0.1749,0.1160,0.1395,0.2857,0.1168,0.1658,0.0318,0.0146,0.0200,160,640,1211,2026-01-12T08:13:02.149413
2,dev,0.3063,0.2541,0.2778,0.1720,0.1674,0.1697,0.3260,0.3527,0.3388,0.0784,0.0219,0.0342,325,1061,1279,2026-01-12T08:24:17.924865
2,test,0.2288,0.1891,0.2071,0.2027,0.1947,0.1987,0.1885,0.1995,0.1939,0.0811,0.0262,0.0396,229,1001,1211,2026-01-12T08:26:38.068823
3,dev,0.3117,0.2737,0.2914,0.1957,0.1830,0.1892,0.3219,0.3828,0.3497,0.1069,0.0383,0.0563,350,1123,1279,2026-01-12T08:37:54.909668
3,test,0.2308,0.1957,0.2118,0.2208,0.1904,0.2045,0.1868,0.2141,0.1995,0.0909,0.0379,0.0535,237,1027,1211,2026-01-12T08:40:16.148629
4,dev,0.3127,0.2729,0.2914,0.2402,0.1786,0.2049,0.3248,0.4108,0.3628,0.0787,0.0383,0.0515,349,1116,1279,2026-01-12T08:51:33.591773
4,test,0.2555,0.2205,0.2367,0.2853,0.2035,0.2375,0.2133,0.2725,0.2393,0.0517,0.0262,0.0348,267,1045,1211,2026-01-12T08:53:55.099703
5,dev,0.3254,0.3002,0.3123,0.2512,0.2388,0.2449,0.3547,0.4172,0.3834,0.0876,0.0464,0.0607,384,1180,1279,2026-01-12T09:05:13.983236
5,test,0.2902,0.2609,0.2748,0.2857,0.2538,0.2688,0.2495,0.2895,0.2680,0.0838,0.0466,0.0599,316,1089,1211,2026-01-12T09:07:37.023751
6,dev,0.3386,0.3174,0.3277,0.3238,0.2522,0.2836,0.3580,0.4258,0.3890,0.0922,0.0710,0.0802,406,1199,1279,2026-01-12T09:18:55.981942
6,test,0.3033,0.2808,0.2916,0.3433,0.2757,0.3058,0.2712,0.3114,0.2899,0.0879,0.0700,0.0779,340,1121,1211,2026-01-12T09:21:19.170257
7,dev,0.3413,0.3112,0.3256,0.2347,0.2567,0.2452,0.4690,0.4237,0.4452,0.1016,0.0683,0.0817,398,1166,1279,2026-01-12T09:32:38.441065
7,test,0.3069,0.2750,0.2901,0.2744,0.2888,0.2814,0.3352,0.2847,0.3079,0.1008,0.0729,0.0846,333,1085,1211,2026-01-12T09:35:01.313684
8,dev,0.3433,0.3151,0.3286,0.2714,0.2545,0.2627,0.4323,0.4323,0.4323,0.0873,0.0656,0.0749,403,1174,1279,2026-01-12T09:46:20.108986
8,test,0.3219,0.2874,0.3037,0.3126,0.2867,0.2991,0.3238,0.3017,0.3123,0.1037,0.0816,0.0914,348,1081,1211,2026-01-12T09:48:42.592536
9,dev,0.3545,0.3190,0.3358,0.2753,0.2612,0.2680,0.4936,0.4172,0.4522,0.0954,0.0847,0.0897,408,1151,1279,2026-01-12T10:00:02.160178
9,test,0.3267,0.2857,0.3048,0.3198,0.2932,0.3059,0.3774,0.2847,0.3245,0.0951,0.0904,0.0927,346,1059,1211,2026-01-12T10:02:25.454077
10,dev,0.3511,0.3143,0.3317,0.2768,0.2366,0.2551,0.4430,0.4258,0.4342,0.1060,0.0874,0.0958,402,1145,1279,2026-01-12T10:13:44.940260
10,test,0.3163,0.2758,0.2947,0.3333,0.2823,0.3057,0.3324,0.2895,0.3095,0.0921,0.0816,0.0866,334,1056,1211,2026-01-12T10:16:08.540318
10,test,0.3163,0.2758,0.2947,0.3333,0.2823,0.3057,0.3324,0.2895,0.3095,0.0921,0.0816,0.0866,334,1056,1211,2026-01-12T10:18:32.491348
