epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.5866,0.3628,0.4483,0.3673,0.2411,0.2911,0.4986,0.3785,0.4303,0.3472,0.1366,0.1961,464,791,1279,2026-01-11T22:58:15.472053
1,test,0.5751,0.3509,0.4359,0.3533,0.2319,0.2801,0.4033,0.2944,0.3404,0.3813,0.1545,0.2199,425,739,1211,2026-01-11T23:00:28.696332
2,dev,0.4188,0.3589,0.3865,0.1476,0.1674,0.1569,0.4517,0.4624,0.4570,0.3839,0.1175,0.1799,459,1096,1279,2026-01-11T23:11:38.581802
2,test,0.4076,0.3386,0.3699,0.1739,0.1838,0.1787,0.3601,0.3601,0.3601,0.3750,0.1224,0.1846,410,1006,1211,2026-01-11T23:13:51.697974
3,dev,0.5336,0.4590,0.4935,0.2796,0.2634,0.2713,0.5030,0.5419,0.5217,0.4689,0.2268,0.3057,587,1100,1279,2026-01-11T23:25:01.638429
3,test,0.5049,0.4244,0.4612,0.2908,0.2691,0.2795,0.4153,0.4234,0.4193,0.5170,0.2653,0.3507,514,1018,1211,2026-01-11T23:27:14.970929
4,dev,0.6190,0.5004,0.5534,0.4101,0.3259,0.3632,0.5690,0.5140,0.5401,0.4651,0.3279,0.3846,640,1034,1279,2026-01-11T23:38:24.835347
4,test,0.5983,0.4773,0.5310,0.4609,0.3611,0.4049,0.4864,0.3917,0.4340,0.4152,0.3353,0.3710,578,966,1211,2026-01-11T23:40:38.182521
5,dev,0.6156,0.5661,0.5898,0.4897,0.4241,0.4545,0.4981,0.5613,0.5278,0.4318,0.3115,0.3619,724,1176,1279,2026-01-11T23:51:48.328417
5,test,0.6102,0.5648,0.5866,0.5024,0.4508,0.4752,0.4437,0.4793,0.4608,0.4419,0.3440,0.3869,684,1121,1211,2026-01-11T23:54:01.760486
6,dev,0.6165,0.5770,0.5961,0.4357,0.4844,0.4588,0.5841,0.5527,0.5680,0.4517,0.3197,0.3744,738,1197,1279,2026-01-12T00:05:11.896428
6,test,0.5959,0.5723,0.5838,0.4310,0.4989,0.4625,0.5160,0.4696,0.4917,0.4538,0.3440,0.3914,693,1163,1211,2026-01-12T00:07:25.519829
7,dev,0.6295,0.5739,0.6004,0.4309,0.4732,0.4511,0.6195,0.5183,0.5644,0.4316,0.3361,0.3779,734,1166,1279,2026-01-12T00:18:35.733010
7,test,0.6259,0.5747,0.5992,0.4551,0.4989,0.4760,0.5896,0.4404,0.5042,0.4112,0.3644,0.3864,696,1112,1211,2026-01-12T00:20:49.327433
8,dev,0.6171,0.5770,0.5964,0.4454,0.4732,0.4589,0.6430,0.5269,0.5792,0.3599,0.3333,0.3461,738,1196,1279,2026-01-12T00:31:59.815966
8,test,0.6019,0.5656,0.5832,0.4592,0.4923,0.4752,0.6135,0.4209,0.4993,0.3415,0.3644,0.3526,685,1138,1211,2026-01-12T00:34:13.286058
9,dev,0.6104,0.5880,0.5990,0.4964,0.4576,0.4762,0.5858,0.5505,0.5676,0.3429,0.3579,0.3503,752,1232,1279,2026-01-12T00:45:23.581474
9,test,0.6097,0.5830,0.5960,0.5082,0.4770,0.4921,0.5426,0.4647,0.5007,0.3634,0.3994,0.3806,706,1158,1211,2026-01-12T00:47:37.130342
10,dev,0.6402,0.5872,0.6126,0.4670,0.4576,0.4622,0.5724,0.5613,0.5668,0.4460,0.3388,0.3851,751,1173,1279,2026-01-12T00:58:47.380821
10,test,0.6554,0.5937,0.6231,0.4966,0.4814,0.4889,0.5511,0.4988,0.5236,0.4149,0.3411,0.3744,719,1097,1211,2026-01-12T01:01:00.872467
10,test,0.6554,0.5937,0.6231,0.4966,0.4814,0.4889,0.5511,0.4988,0.5236,0.4149,0.3411,0.3744,719,1097,1211,2026-01-12T01:03:14.376188
