epoch,step,loss,timestamp
1,100,1.539132,2026-01-11T17:41:43.485625
1,200,1.306954,2026-01-11T17:45:17.704064
2,100,1.680663,2026-01-11T17:55:03.235526
2,200,1.009277,2026-01-11T17:58:37.417051
3,100,1.293224,2026-01-11T18:08:24.192199
3,200,0.800177,2026-01-11T18:11:58.453459
4,100,1.081122,2026-01-11T18:21:44.075815
4,200,0.685235,2026-01-11T18:25:18.218060
5,100,0.918502,2026-01-11T18:35:03.895726
5,200,0.588028,2026-01-11T18:38:37.986280
6,100,0.825330,2026-01-11T18:48:23.373520
6,200,0.495348,2026-01-11T18:51:57.551492
7,100,0.719776,2026-01-11T19:01:43.868423
7,200,0.458404,2026-01-11T19:05:18.027461
8,100,0.628068,2026-01-11T19:15:04.206518
8,200,0.395300,2026-01-11T19:18:38.388833
9,100,0.573345,2026-01-11T19:28:24.543337
9,200,0.357068,2026-01-11T19:31:58.691211
10,100,0.525586,2026-01-11T19:41:44.947201
10,200,0.339693,2026-01-11T19:45:19.071913
