epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4219,0.3612,0.3892,0.2195,0.2812,0.2466,0.5819,0.4280,0.4932,0.2588,0.1202,0.1642,462,1095,1279,2026-01-19T16:35:25.328852
1,test,0.4287,0.3328,0.3747,0.2731,0.3304,0.2990,0.5130,0.2871,0.3682,0.3113,0.1370,0.1903,403,940,1211,2026-01-19T16:37:38.044692
2,dev,0.5264,0.4683,0.4957,0.3478,0.3214,0.3341,0.5662,0.5699,0.5681,0.3120,0.2131,0.2532,599,1138,1279,2026-01-19T16:57:44.220603
2,test,0.5203,0.4335,0.4730,0.4115,0.3611,0.3846,0.4777,0.4161,0.4447,0.2967,0.2128,0.2479,525,1009,1211,2026-01-19T16:59:56.859352
3,dev,0.5603,0.5410,0.5505,0.4018,0.3884,0.3950,0.6149,0.5871,0.6007,0.3268,0.3169,0.3218,692,1235,1279,2026-01-19T17:20:03.249807
3,test,0.5651,0.5161,0.5395,0.4560,0.4311,0.4432,0.5697,0.4574,0.5074,0.3246,0.3236,0.3241,625,1106,1211,2026-01-19T17:22:16.092587
4,dev,0.5500,0.5293,0.5394,0.4282,0.3795,0.4024,0.6107,0.5871,0.5987,0.3029,0.3169,0.3097,677,1231,1279,2026-01-19T17:42:22.025083
4,test,0.5585,0.5128,0.5347,0.4752,0.4201,0.4460,0.5460,0.4477,0.4920,0.3215,0.3440,0.3324,621,1112,1211,2026-01-19T17:44:34.767373
5,dev,0.5795,0.5528,0.5658,0.4158,0.4353,0.4253,0.6150,0.5978,0.6063,0.3797,0.3060,0.3389,707,1220,1279,2026-01-19T18:04:41.137346
5,test,0.5816,0.5326,0.5560,0.4713,0.4858,0.4784,0.5681,0.4769,0.5185,0.3596,0.3061,0.3307,645,1109,1211,2026-01-19T18:06:54.000800
6,dev,0.5759,0.5754,0.5757,0.4162,0.4598,0.4369,0.6378,0.6172,0.6273,0.3788,0.3415,0.3592,736,1278,1279,2026-01-19T18:27:00.386366
6,test,0.5913,0.5615,0.5760,0.4738,0.5142,0.4932,0.5793,0.4891,0.5303,0.3725,0.3324,0.3513,680,1150,1211,2026-01-19T18:29:13.429479
7,dev,0.6218,0.5848,0.6027,0.4388,0.4643,0.4512,0.6629,0.6258,0.6438,0.4345,0.3443,0.3841,748,1203,1279,2026-01-19T18:49:19.849411
7,test,0.6311,0.5764,0.6025,0.4929,0.5317,0.5116,0.6224,0.5012,0.5553,0.4093,0.3353,0.3686,698,1106,1211,2026-01-19T18:51:32.678951
8,dev,0.6100,0.5809,0.5951,0.4652,0.4621,0.4636,0.6125,0.6731,0.6414,0.4713,0.3361,0.3923,743,1218,1279,2026-01-19T19:11:38.649623
8,test,0.6251,0.5838,0.6038,0.5151,0.5230,0.5190,0.5840,0.5669,0.5753,0.4270,0.3324,0.3738,707,1131,1211,2026-01-19T19:13:51.455258
9,dev,0.5964,0.5778,0.5870,0.4483,0.4643,0.4561,0.5932,0.6774,0.6325,0.4752,0.3142,0.3783,739,1239,1279,2026-01-19T19:33:57.612125
9,test,0.6192,0.5813,0.5997,0.4958,0.5186,0.5070,0.5499,0.5766,0.5629,0.4649,0.3090,0.3713,704,1137,1211,2026-01-19T19:36:10.467717
10,dev,0.6180,0.6161,0.6171,0.4593,0.5045,0.4809,0.6054,0.6796,0.6403,0.4826,0.3415,0.4000,788,1275,1279,2026-01-19T19:56:16.698056
10,test,0.6127,0.5995,0.6060,0.4949,0.5317,0.5127,0.5508,0.5669,0.5588,0.4254,0.3324,0.3732,726,1185,1211,2026-01-19T19:58:29.553956
10,test,0.6127,0.5995,0.6060,0.4949,0.5317,0.5127,0.5508,0.5669,0.5588,0.4254,0.3324,0.3732,726,1185,1211,2026-01-19T20:00:42.410761
