epoch,step,loss,timestamp
1,100,1.392949,2026-01-19T12:31:54.232935
1,200,1.110932,2026-01-19T12:35:28.836478
1,300,0.977948,2026-01-19T12:39:03.495950
1,400,0.927180,2026-01-19T12:42:37.999944
1,500,0.888168,2026-01-19T12:46:12.431534
2,100,0.835764,2026-01-19T12:54:11.636714
2,200,0.770214,2026-01-19T12:57:46.108358
2,300,0.716943,2026-01-19T13:01:20.652565
2,400,0.673820,2026-01-19T13:04:55.220242
2,500,0.641392,2026-01-19T13:08:29.754765
3,100,0.646313,2026-01-19T13:16:28.976488
3,200,0.601023,2026-01-19T13:20:03.439812
3,300,0.559507,2026-01-19T13:23:37.876795
3,400,0.526153,2026-01-19T13:27:12.307761
3,500,0.520796,2026-01-19T13:30:46.628486
4,100,0.512505,2026-01-19T13:38:46.561044
4,200,0.495102,2026-01-19T13:42:21.008300
4,300,0.463328,2026-01-19T13:45:55.415786
4,400,0.445444,2026-01-19T13:49:29.743760
4,500,0.428976,2026-01-19T13:53:04.266805
5,100,0.437202,2026-01-19T14:01:04.131912
5,200,0.424645,2026-01-19T14:04:38.621913
5,300,0.396492,2026-01-19T14:08:13.102922
5,400,0.385426,2026-01-19T14:11:47.641162
5,500,0.374406,2026-01-19T14:15:22.046950
6,100,0.366499,2026-01-19T14:23:21.778882
6,200,0.368642,2026-01-19T14:26:56.273435
6,300,0.352246,2026-01-19T14:30:30.760420
6,400,0.328221,2026-01-19T14:34:05.279023
6,500,0.336855,2026-01-19T14:37:39.697462
7,100,0.330295,2026-01-19T14:45:39.470914
7,200,0.330005,2026-01-19T14:49:13.969165
7,300,0.307249,2026-01-19T14:52:48.507763
7,400,0.298301,2026-01-19T14:56:23.001805
7,500,0.293435,2026-01-19T14:59:57.489617
8,100,0.284711,2026-01-19T15:07:57.272978
8,200,0.292742,2026-01-19T15:11:31.749383
8,300,0.270514,2026-01-19T15:15:06.167701
8,400,0.271628,2026-01-19T15:18:40.743569
8,500,0.268257,2026-01-19T15:22:15.239452
9,100,0.260664,2026-01-19T15:30:14.967229
9,200,0.254841,2026-01-19T15:33:49.406890
9,300,0.249393,2026-01-19T15:37:23.895153
9,400,0.247399,2026-01-19T15:40:58.383671
9,500,0.243899,2026-01-19T15:44:32.884958
10,100,0.230315,2026-01-19T15:52:32.855205
10,200,0.242690,2026-01-19T15:56:07.309398
10,300,0.238002,2026-01-19T15:59:41.690837
10,400,0.227106,2026-01-19T16:03:16.190289
10,500,0.231243,2026-01-19T16:06:50.720205
