epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.3933,0.3213,0.3537,0.2827,0.2946,0.2885,0.4894,0.3462,0.4055,0.1589,0.0929,0.1172,411,1045,1279,2026-01-18T21:40:29.362690
1,test,0.3871,0.2973,0.3363,0.3069,0.3129,0.3099,0.3938,0.2482,0.3045,0.2086,0.1137,0.1472,360,930,1211,2026-01-18T21:42:41.249173
2,dev,0.4465,0.4402,0.4433,0.3434,0.3549,0.3491,0.5225,0.4753,0.4977,0.1944,0.1885,0.1914,563,1261,1279,2026-01-18T22:02:43.749943
2,test,0.4432,0.4088,0.4253,0.3739,0.3764,0.3751,0.4620,0.3552,0.4017,0.2054,0.1983,0.2018,495,1117,1211,2026-01-18T22:04:55.502520
3,dev,0.5170,0.5098,0.5134,0.3755,0.4040,0.3892,0.6629,0.4989,0.5693,0.2488,0.2842,0.2653,652,1261,1279,2026-01-18T22:24:58.349114
3,test,0.5062,0.4756,0.4904,0.3951,0.4201,0.4072,0.5962,0.3771,0.4620,0.2583,0.2945,0.2752,576,1138,1211,2026-01-18T22:27:09.956694
4,dev,0.5706,0.5465,0.5583,0.4315,0.4286,0.4300,0.6263,0.5333,0.5761,0.3040,0.3115,0.3077,699,1225,1279,2026-01-18T22:47:12.617442
4,test,0.5395,0.5078,0.5232,0.4249,0.4398,0.4323,0.5481,0.4161,0.4730,0.3070,0.3178,0.3123,615,1140,1211,2026-01-18T22:49:24.271512
5,dev,0.5818,0.5395,0.5598,0.4257,0.4286,0.4271,0.6632,0.5419,0.5964,0.3372,0.3197,0.3282,690,1186,1279,2026-01-18T23:09:26.950223
5,test,0.5489,0.5004,0.5235,0.4280,0.4486,0.4380,0.5952,0.4258,0.4965,0.3323,0.3207,0.3264,606,1104,1211,2026-01-18T23:11:38.579524
6,dev,0.5769,0.5661,0.5714,0.4390,0.4420,0.4405,0.6641,0.5656,0.6109,0.3256,0.3470,0.3360,724,1255,1279,2026-01-18T23:31:41.314688
6,test,0.5638,0.5400,0.5517,0.4667,0.4902,0.4781,0.5888,0.4355,0.5007,0.3217,0.3499,0.3352,654,1160,1211,2026-01-18T23:33:53.030728
7,dev,0.6175,0.5668,0.5911,0.4520,0.4732,0.4624,0.6845,0.5785,0.6270,0.3934,0.3279,0.3577,725,1174,1279,2026-01-18T23:53:55.599484
7,test,0.5959,0.5467,0.5702,0.4617,0.5142,0.4865,0.6189,0.4623,0.5292,0.3864,0.3324,0.3574,662,1111,1211,2026-01-18T23:56:07.415214
8,dev,0.6391,0.5927,0.6150,0.5121,0.4710,0.4907,0.6377,0.6473,0.6425,0.4448,0.3634,0.4000,758,1186,1279,2026-01-19T00:16:10.070349
8,test,0.6081,0.5690,0.5879,0.5088,0.5077,0.5082,0.5573,0.5207,0.5384,0.3780,0.3207,0.3470,689,1133,1211,2026-01-19T00:18:21.790978
9,dev,0.6141,0.5911,0.6024,0.4931,0.4799,0.4864,0.6149,0.6731,0.6427,0.4235,0.3251,0.3679,756,1231,1279,2026-01-19T00:38:24.596977
9,test,0.6093,0.5822,0.5954,0.5042,0.5230,0.5134,0.5488,0.5474,0.5481,0.4059,0.3207,0.3583,705,1157,1211,2026-01-19T00:40:36.291783
10,dev,0.6061,0.5919,0.5989,0.4822,0.4844,0.4833,0.6112,0.6796,0.6436,0.4618,0.3470,0.3963,757,1249,1279,2026-01-19T01:00:38.846581
10,test,0.5837,0.5731,0.5783,0.4725,0.5077,0.4895,0.5187,0.5401,0.5292,0.4023,0.3120,0.3514,694,1189,1211,2026-01-19T01:02:50.704297
10,test,0.5837,0.5731,0.5783,0.4725,0.5077,0.4895,0.5187,0.5401,0.5292,0.4023,0.3120,0.3514,694,1189,1211,2026-01-19T01:05:02.473720
