epoch,step,loss,timestamp
1,100,1.510208,2026-01-19T08:44:32.290900
1,200,1.233057,2026-01-19T08:48:07.392410
1,300,1.074388,2026-01-19T08:51:42.430248
1,400,0.976583,2026-01-19T08:55:17.367533
1,500,0.944858,2026-01-19T08:58:52.280305
2,100,0.857571,2026-01-19T09:06:53.554428
2,200,0.801146,2026-01-19T09:10:28.395569
2,300,0.744911,2026-01-19T09:14:03.240034
2,400,0.701849,2026-01-19T09:17:38.101758
2,500,0.665019,2026-01-19T09:21:12.954360
3,100,0.654763,2026-01-19T09:29:13.541485
3,200,0.634414,2026-01-19T09:32:48.342744
3,300,0.593351,2026-01-19T09:36:23.114868
3,400,0.575513,2026-01-19T09:39:57.902480
3,500,0.554140,2026-01-19T09:43:32.720709
4,100,0.562406,2026-01-19T09:51:33.558415
4,200,0.541271,2026-01-19T09:55:08.308846
4,300,0.503610,2026-01-19T09:58:43.117752
4,400,0.493533,2026-01-19T10:02:17.943719
4,500,0.475382,2026-01-19T10:05:52.730524
5,100,0.489141,2026-01-19T10:13:53.252070
5,200,0.470772,2026-01-19T10:17:28.056012
5,300,0.444902,2026-01-19T10:21:02.854067
5,400,0.425661,2026-01-19T10:24:37.705982
5,500,0.429435,2026-01-19T10:28:12.529818
6,100,0.425846,2026-01-19T10:36:12.931461
6,200,0.413044,2026-01-19T10:39:47.768041
6,300,0.396042,2026-01-19T10:43:22.587425
6,400,0.390251,2026-01-19T10:46:57.436407
6,500,0.379100,2026-01-19T10:50:32.223309
7,100,0.376450,2026-01-19T10:58:32.792178
7,200,0.370658,2026-01-19T11:02:07.480106
7,300,0.359759,2026-01-19T11:05:42.415830
7,400,0.352068,2026-01-19T11:09:17.301935
7,500,0.353861,2026-01-19T11:12:52.133518
8,100,0.344346,2026-01-19T11:20:52.738336
8,200,0.346378,2026-01-19T11:24:27.516344
8,300,0.331968,2026-01-19T11:28:02.264952
8,400,0.327718,2026-01-19T11:31:37.159912
8,500,0.317143,2026-01-19T11:35:11.945371
9,100,0.325457,2026-01-19T11:43:12.427373
9,200,0.319837,2026-01-19T11:46:47.086073
9,300,0.304425,2026-01-19T11:50:21.840265
9,400,0.295073,2026-01-19T11:53:56.632002
9,500,0.301035,2026-01-19T11:57:31.447668
10,100,0.298244,2026-01-19T12:05:32.133409
10,200,0.305110,2026-01-19T12:09:06.955643
10,300,0.293332,2026-01-19T12:12:41.778709
10,400,0.283735,2026-01-19T12:16:16.654562
10,500,0.286575,2026-01-19T12:19:51.383231
