epoch,step,loss,timestamp
1,100,1.316384,2026-01-18T02:32:19.869509
1,200,1.056622,2026-01-18T02:35:53.703420
1,300,0.934354,2026-01-18T02:39:27.646354
1,400,0.883751,2026-01-18T02:43:01.557295
1,500,0.846586,2026-01-18T02:46:35.423658
2,100,0.807452,2026-01-18T02:54:32.242951
2,200,0.740162,2026-01-18T02:58:06.126256
2,300,0.689990,2026-01-18T03:01:39.953873
2,400,0.660886,2026-01-18T03:05:13.764039
2,500,0.618881,2026-01-18T03:08:47.660373
3,100,0.616853,2026-01-18T03:16:44.431014
3,200,0.577568,2026-01-18T03:20:18.277759
3,300,0.547554,2026-01-18T03:23:51.997007
3,400,0.526003,2026-01-18T03:27:25.760922
3,500,0.497424,2026-01-18T03:30:59.605937
4,100,0.509617,2026-01-18T03:38:56.779591
4,200,0.487792,2026-01-18T03:42:30.585372
4,300,0.450264,2026-01-18T03:46:04.431549
4,400,0.446246,2026-01-18T03:49:38.139156
4,500,0.415679,2026-01-18T03:53:12.029181
5,100,0.422713,2026-01-18T04:01:08.970201
5,200,0.416214,2026-01-18T04:04:42.739147
5,300,0.389171,2026-01-18T04:08:16.613304
5,400,0.369734,2026-01-18T04:11:50.384637
5,500,0.350047,2026-01-18T04:15:24.297658
6,100,0.367290,2026-01-18T04:23:21.127338
6,200,0.356376,2026-01-18T04:26:54.956651
6,300,0.330695,2026-01-18T04:30:28.784202
6,400,0.322401,2026-01-18T04:34:02.608379
6,500,0.314130,2026-01-18T04:37:36.388656
7,100,0.312329,2026-01-18T04:45:33.421247
7,200,0.316149,2026-01-18T04:49:07.220695
7,300,0.295580,2026-01-18T04:52:40.961263
7,400,0.288098,2026-01-18T04:56:14.708567
7,500,0.282858,2026-01-18T04:59:48.475177
8,100,0.279218,2026-01-18T05:07:45.859828
8,200,0.286668,2026-01-18T05:11:19.676834
8,300,0.276025,2026-01-18T05:14:53.487390
8,400,0.262983,2026-01-18T05:18:27.198970
8,500,0.256510,2026-01-18T05:22:01.063565
9,100,0.248968,2026-01-18T05:29:58.186023
9,200,0.259052,2026-01-18T05:33:31.925566
9,300,0.246364,2026-01-18T05:37:05.762243
9,400,0.240739,2026-01-18T05:40:39.607732
9,500,0.235194,2026-01-18T05:44:13.517223
10,100,0.231503,2026-01-18T05:52:10.873097
10,200,0.246253,2026-01-18T05:55:44.672546
10,300,0.230011,2026-01-18T05:59:18.571430
10,400,0.226403,2026-01-18T06:02:52.412484
10,500,0.213888,2026-01-18T06:06:26.207730
