epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4043,0.3237,0.3595,0.2384,0.2634,0.2503,0.4938,0.3419,0.4041,0.2512,0.1421,0.1815,414,1024,1279,2026-01-18T06:34:53.093937
1,test,0.4053,0.3006,0.3452,0.2921,0.2998,0.2959,0.4108,0.2409,0.3037,0.2766,0.1516,0.1959,364,898,1211,2026-01-18T06:37:04.618819
2,dev,0.5498,0.5090,0.5286,0.3597,0.3750,0.3672,0.6088,0.5656,0.5864,0.3053,0.2377,0.2673,651,1184,1279,2026-01-18T06:57:05.577318
2,test,0.5407,0.4715,0.5037,0.3900,0.3917,0.3908,0.5152,0.4112,0.4574,0.3197,0.2507,0.2810,571,1056,1211,2026-01-18T06:59:17.240970
3,dev,0.5323,0.5410,0.5366,0.3722,0.4062,0.3885,0.5941,0.6108,0.6023,0.2823,0.2568,0.2690,692,1300,1279,2026-01-18T07:19:18.175119
3,test,0.5215,0.5111,0.5163,0.4202,0.4376,0.4287,0.4974,0.4720,0.4844,0.2804,0.2624,0.2711,619,1187,1211,2026-01-18T07:21:29.814383
4,dev,0.5607,0.5598,0.5603,0.4131,0.3929,0.4027,0.6408,0.6215,0.6310,0.2875,0.3142,0.3003,716,1277,1279,2026-01-18T07:41:30.732813
4,test,0.5546,0.5367,0.5455,0.4824,0.4508,0.4661,0.5537,0.4769,0.5124,0.2967,0.3382,0.3161,650,1172,1211,2026-01-18T07:43:42.475579
5,dev,0.5915,0.5762,0.5838,0.4118,0.4531,0.4315,0.6464,0.6172,0.6315,0.3560,0.3005,0.3259,737,1246,1279,2026-01-18T08:03:43.551635
5,test,0.5878,0.5557,0.5713,0.4486,0.4967,0.4714,0.5710,0.4793,0.5212,0.3639,0.3120,0.3359,673,1145,1211,2026-01-18T08:05:55.371996
6,dev,0.6159,0.6005,0.6081,0.4102,0.4844,0.4442,0.6836,0.6086,0.6439,0.3980,0.3306,0.3612,768,1247,1279,2026-01-18T08:25:56.108308
6,test,0.6158,0.5797,0.5972,0.4685,0.5361,0.5000,0.5981,0.4672,0.5246,0.3986,0.3440,0.3693,702,1140,1211,2026-01-18T08:28:07.737178
7,dev,0.6356,0.6083,0.6217,0.4483,0.4933,0.4697,0.6614,0.6258,0.6431,0.4261,0.3388,0.3775,778,1224,1279,2026-01-18T08:48:08.400375
7,test,0.6295,0.5921,0.6102,0.4889,0.5317,0.5094,0.6000,0.5109,0.5519,0.4212,0.3586,0.3874,717,1139,1211,2026-01-18T08:50:20.215301
8,dev,0.6174,0.5942,0.6056,0.4385,0.4777,0.4573,0.6341,0.6559,0.6448,0.4275,0.3060,0.3567,760,1231,1279,2026-01-18T09:10:21.083419
8,test,0.6278,0.5822,0.6041,0.5010,0.5230,0.5118,0.5777,0.5426,0.5596,0.4192,0.3178,0.3615,705,1123,1211,2026-01-18T09:12:32.715307
9,dev,0.6069,0.5880,0.5973,0.4392,0.4754,0.4566,0.6008,0.6667,0.6320,0.4244,0.2760,0.3344,752,1239,1279,2026-01-18T09:32:33.620323
9,test,0.6196,0.5838,0.6012,0.5031,0.5274,0.5150,0.5329,0.5523,0.5424,0.4280,0.2945,0.3489,707,1141,1211,2026-01-18T09:34:45.408186
10,dev,0.6124,0.6200,0.6162,0.4517,0.5112,0.4796,0.6031,0.6667,0.6333,0.4562,0.3415,0.3906,793,1295,1279,2026-01-18T09:54:46.244724
10,test,0.6140,0.6094,0.6117,0.5000,0.5492,0.5235,0.5300,0.5596,0.5444,0.4361,0.3382,0.3810,738,1202,1211,2026-01-18T09:56:58.028738
10,test,0.6140,0.6094,0.6117,0.5000,0.5492,0.5235,0.5300,0.5596,0.5444,0.4361,0.3382,0.3810,738,1202,1211,2026-01-18T09:59:09.769408
