epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.5423,0.3909,0.4543,0.2808,0.2545,0.2670,0.5948,0.3914,0.4721,0.3382,0.1885,0.2421,500,922,1279,2026-01-22T12:42:08.230561
1,test,0.5208,0.3617,0.4269,0.2347,0.2101,0.2217,0.4836,0.2871,0.3603,0.3880,0.2070,0.2700,438,841,1211,2026-01-22T12:44:19.433448
2,dev,0.6068,0.4887,0.5414,0.4904,0.1719,0.2545,0.4484,0.5699,0.5019,0.4007,0.2978,0.3417,625,1030,1279,2026-01-22T13:04:21.517557
2,test,0.5918,0.4657,0.5213,0.5181,0.1882,0.2761,0.3843,0.4769,0.4256,0.4096,0.3236,0.3616,564,953,1211,2026-01-22T13:06:32.720894
3,dev,0.5902,0.5371,0.5624,0.4180,0.2388,0.3040,0.4922,0.6086,0.5442,0.3885,0.3333,0.3588,687,1164,1279,2026-01-22T13:26:35.031724
3,test,0.5462,0.4880,0.5155,0.3643,0.2144,0.2700,0.4247,0.5012,0.4598,0.3918,0.3644,0.3776,591,1082,1211,2026-01-22T13:28:46.441942
4,dev,0.5869,0.5332,0.5588,0.3984,0.4554,0.4250,0.5903,0.6043,0.5972,0.5366,0.2404,0.3321,682,1162,1279,2026-01-22T13:48:48.681063
4,test,0.5885,0.5301,0.5578,0.4075,0.4530,0.4290,0.4914,0.4891,0.4902,0.5799,0.2857,0.3828,642,1091,1211,2026-01-22T13:50:59.994910
5,dev,0.6183,0.5434,0.5784,0.4134,0.4688,0.4393,0.6121,0.5871,0.5993,0.5975,0.2596,0.3619,695,1124,1279,2026-01-22T14:11:02.056370
5,test,0.6200,0.5376,0.5759,0.4314,0.4748,0.4521,0.5289,0.4891,0.5082,0.6178,0.2828,0.3880,651,1050,1211,2026-01-22T14:13:13.406411
6,dev,0.6370,0.5598,0.5959,0.4358,0.4777,0.4558,0.6154,0.6194,0.6174,0.6125,0.2678,0.3726,716,1124,1279,2026-01-22T14:33:15.565161
6,test,0.6319,0.5599,0.5937,0.4329,0.4726,0.4519,0.5371,0.5280,0.5325,0.6061,0.2915,0.3937,678,1073,1211,2026-01-22T14:35:27.084673
7,dev,0.6428,0.5684,0.6033,0.4471,0.4621,0.4544,0.6133,0.5935,0.6033,0.5561,0.3251,0.4103,727,1131,1279,2026-01-22T14:55:29.887828
7,test,0.6369,0.5648,0.5987,0.4617,0.4748,0.4682,0.5146,0.4720,0.4924,0.5419,0.3586,0.4316,684,1074,1211,2026-01-22T14:57:41.889156
8,dev,0.6718,0.6114,0.6402,0.4811,0.5112,0.4957,0.6075,0.5957,0.6015,0.5459,0.3415,0.4202,782,1164,1279,2026-01-22T15:17:44.296728
8,test,0.6643,0.6193,0.6410,0.5071,0.5449,0.5253,0.5345,0.5085,0.5212,0.5203,0.3732,0.4346,750,1129,1211,2026-01-22T15:19:56.209566
9,dev,0.6801,0.6333,0.6559,0.5629,0.5290,0.5455,0.6180,0.6366,0.6271,0.5052,0.3962,0.4441,810,1191,1279,2026-01-22T15:39:58.705764
9,test,0.6681,0.6251,0.6459,0.5550,0.5295,0.5420,0.5504,0.5450,0.5477,0.4740,0.3994,0.4335,757,1133,1211,2026-01-22T15:42:10.309329
10,dev,0.6853,0.6231,0.6527,0.5444,0.5067,0.5249,0.6303,0.6452,0.6376,0.5132,0.3716,0.4311,797,1163,1279,2026-01-22T16:02:12.520197
10,test,0.6819,0.6301,0.6549,0.5594,0.5252,0.5418,0.5558,0.5693,0.5625,0.5149,0.4023,0.4517,763,1119,1211,2026-01-22T16:04:24.020726
10,test,0.6819,0.6301,0.6549,0.5594,0.5252,0.5418,0.5558,0.5693,0.5625,0.5149,0.4023,0.4517,763,1119,1211,2026-01-22T16:06:35.436740
