epoch,step,loss,timestamp
1,100,1.655189,2026-01-22T04:51:16.815456
1,200,1.396075,2026-01-22T04:54:51.160323
1,300,1.222075,2026-01-22T04:58:25.373604
1,400,1.192587,2026-01-22T05:01:59.566587
1,500,1.089712,2026-01-22T05:05:33.787401
2,100,1.021967,2026-01-22T05:13:31.594731
2,200,0.997123,2026-01-22T05:17:05.794976
2,300,0.872183,2026-01-22T05:20:39.981648
2,400,0.933494,2026-01-22T05:24:14.187297
2,500,0.822156,2026-01-22T05:27:48.374668
3,100,0.791335,2026-01-22T05:35:46.954920
3,200,0.822155,2026-01-22T05:39:21.135700
3,300,0.708777,2026-01-22T05:42:55.283956
3,400,0.771194,2026-01-22T05:46:29.458102
3,500,0.688215,2026-01-22T05:50:03.617213
4,100,0.662908,2026-01-22T05:58:14.661490
4,200,0.709260,2026-01-22T06:01:48.761363
4,300,0.603453,2026-01-22T06:05:22.974752
4,400,0.645606,2026-01-22T06:08:57.056912
4,500,0.584132,2026-01-22T06:12:31.196488
5,100,0.582031,2026-01-22T06:20:29.366409
5,200,0.609013,2026-01-22T06:24:03.466186
5,300,0.524870,2026-01-22T06:27:37.598364
5,400,0.561107,2026-01-22T06:31:11.775744
5,500,0.522257,2026-01-22T06:34:45.882693
6,100,0.518179,2026-01-22T06:42:44.369210
6,200,0.538486,2026-01-22T06:46:18.529609
6,300,0.444740,2026-01-22T06:49:52.695226
6,400,0.505087,2026-01-22T06:53:26.821619
6,500,0.454634,2026-01-22T06:57:00.969071
7,100,0.452723,2026-01-22T07:04:59.692596
7,200,0.464204,2026-01-22T07:08:33.793679
7,300,0.377942,2026-01-22T07:12:07.871526
7,400,0.446963,2026-01-22T07:15:42.072002
7,500,0.405176,2026-01-22T07:19:16.196278
8,100,0.400119,2026-01-22T07:27:22.528426
8,200,0.417658,2026-01-22T07:30:56.708725
8,300,0.360621,2026-01-22T07:34:30.847465
8,400,0.399410,2026-01-22T07:38:05.059711
8,500,0.381549,2026-01-22T07:41:39.231778
9,100,0.368114,2026-01-22T07:49:39.778150
9,200,0.379868,2026-01-22T07:53:13.971722
9,300,0.323866,2026-01-22T07:56:48.142755
9,400,0.382021,2026-01-22T08:00:22.310022
9,500,0.343355,2026-01-22T08:03:56.420117
10,100,0.339243,2026-01-22T08:11:55.172472
10,200,0.342807,2026-01-22T08:15:29.279225
10,300,0.312567,2026-01-22T08:19:03.459870
10,400,0.349271,2026-01-22T08:22:37.574005
10,500,0.313866,2026-01-22T08:26:11.764274
