epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4822,0.3823,0.4265,0.2689,0.3415,0.3009,0.5143,0.3097,0.3866,0.3806,0.1393,0.2040,489,1014,1279,2026-01-21T17:46:13.218979
1,test,0.5026,0.3964,0.4432,0.2789,0.3435,0.3078,0.4184,0.2433,0.3077,0.4400,0.1603,0.2350,480,955,1211,2026-01-21T17:48:25.683097
2,dev,0.5823,0.4480,0.5064,0.5450,0.2701,0.3612,0.4641,0.4731,0.4686,0.3838,0.2842,0.3265,573,984,1279,2026-01-21T18:08:31.695594
2,test,0.5902,0.4377,0.5026,0.5023,0.2407,0.3254,0.4158,0.4088,0.4123,0.4053,0.3120,0.3526,530,898,1211,2026-01-21T18:10:43.805146
3,dev,0.5827,0.5317,0.5560,0.5351,0.2723,0.3609,0.4783,0.5226,0.4995,0.3341,0.3743,0.3531,680,1167,1279,2026-01-21T18:30:50.096955
3,test,0.5655,0.5095,0.5361,0.4907,0.2319,0.3150,0.4539,0.4793,0.4663,0.3255,0.4023,0.3598,617,1091,1211,2026-01-21T18:33:02.473730
4,dev,0.6084,0.5575,0.5818,0.5322,0.4062,0.4608,0.5121,0.5892,0.5480,0.4542,0.3388,0.3881,713,1172,1279,2026-01-21T18:53:08.640949
4,test,0.5951,0.5400,0.5662,0.4865,0.3545,0.4101,0.4465,0.5182,0.4797,0.4400,0.3528,0.3916,654,1099,1211,2026-01-21T18:55:20.897856
5,dev,0.6128,0.5778,0.5948,0.4256,0.4598,0.4421,0.5723,0.5871,0.5796,0.5089,0.3115,0.3864,739,1206,1279,2026-01-21T19:15:27.110112
5,test,0.6198,0.5747,0.5964,0.4428,0.4661,0.4542,0.5012,0.5061,0.5036,0.5095,0.3120,0.3870,696,1123,1211,2026-01-21T19:17:39.452447
6,dev,0.6197,0.5606,0.5887,0.4643,0.4643,0.4643,0.5871,0.5871,0.5871,0.4760,0.2978,0.3664,717,1157,1279,2026-01-21T19:37:45.758369
6,test,0.6317,0.5566,0.5917,0.4746,0.4705,0.4725,0.5250,0.5109,0.5179,0.5217,0.3149,0.3927,674,1067,1211,2026-01-21T19:39:58.105346
7,dev,0.6468,0.5770,0.6099,0.5093,0.4911,0.5000,0.5974,0.5871,0.5922,0.5042,0.3251,0.3953,738,1141,1279,2026-01-21T20:00:04.509905
7,test,0.6510,0.5714,0.6086,0.5069,0.4814,0.4938,0.5275,0.5134,0.5203,0.5695,0.3703,0.4488,692,1063,1211,2026-01-21T20:02:16.919943
8,dev,0.6578,0.5966,0.6257,0.5205,0.5379,0.5291,0.5982,0.5699,0.5837,0.4960,0.3388,0.4026,763,1160,1279,2026-01-21T20:22:23.281950
8,test,0.6673,0.6144,0.6397,0.5343,0.5449,0.5395,0.5424,0.5134,0.5275,0.5294,0.3936,0.4515,744,1115,1211,2026-01-21T20:24:35.650134
9,dev,0.6597,0.6185,0.6384,0.5152,0.5290,0.5220,0.5947,0.5806,0.5876,0.4982,0.3743,0.4275,791,1199,1279,2026-01-21T20:44:41.958233
9,test,0.6776,0.6334,0.6547,0.5560,0.5646,0.5603,0.5632,0.5207,0.5411,0.5160,0.4227,0.4647,767,1132,1211,2026-01-21T20:46:54.333346
10,dev,0.6675,0.6153,0.6404,0.5483,0.5067,0.5267,0.6106,0.6172,0.6139,0.4913,0.3852,0.4319,787,1179,1279,2026-01-21T21:07:00.773362
10,test,0.6832,0.6251,0.6529,0.5548,0.5208,0.5372,0.5704,0.5523,0.5612,0.5201,0.4140,0.4610,757,1108,1211,2026-01-21T21:09:13.173121
10,test,0.6832,0.6251,0.6529,0.5548,0.5208,0.5372,0.5704,0.5523,0.5612,0.5201,0.4140,0.4610,757,1108,1211,2026-01-21T21:11:25.515743
