epoch,step,loss,timestamp
1,100,1.696720,2026-01-21T09:52:10.376222
1,200,1.409460,2026-01-21T09:55:44.427400
1,300,1.237311,2026-01-21T09:59:18.463527
1,400,1.181373,2026-01-21T10:02:52.554400
1,500,1.073391,2026-01-21T10:06:26.601874
2,100,0.989646,2026-01-21T10:14:37.099743
2,200,0.960001,2026-01-21T10:18:11.232582
2,300,0.869513,2026-01-21T10:21:45.361082
2,400,0.878285,2026-01-21T10:25:19.421942
2,500,0.781967,2026-01-21T10:28:53.532557
3,100,0.769505,2026-01-21T10:37:09.337505
3,200,0.785157,2026-01-21T10:40:43.455193
3,300,0.703676,2026-01-21T10:44:17.606058
3,400,0.730842,2026-01-21T10:47:51.671142
3,500,0.652259,2026-01-21T10:51:25.717793
4,100,0.655342,2026-01-21T10:59:46.706871
4,200,0.663694,2026-01-21T11:03:20.670033
4,300,0.603036,2026-01-21T11:06:54.714701
4,400,0.634655,2026-01-21T11:10:28.818017
4,500,0.570951,2026-01-21T11:14:02.911834
5,100,0.571751,2026-01-21T11:22:21.216381
5,200,0.580023,2026-01-21T11:25:55.325532
5,300,0.521387,2026-01-21T11:29:29.337684
5,400,0.567536,2026-01-21T11:33:03.443949
5,500,0.502923,2026-01-21T11:36:37.486585
6,100,0.528074,2026-01-21T11:44:55.875101
6,200,0.518194,2026-01-21T11:48:29.961477
6,300,0.463085,2026-01-21T11:52:04.058332
6,400,0.504477,2026-01-21T11:55:38.136059
6,500,0.454349,2026-01-21T11:59:12.250505
7,100,0.471048,2026-01-21T12:07:30.385554
7,200,0.457688,2026-01-21T12:11:04.450546
7,300,0.403191,2026-01-21T12:14:38.503866
7,400,0.456290,2026-01-21T12:18:12.609156
7,500,0.411783,2026-01-21T12:21:46.694106
8,100,0.423515,2026-01-21T12:30:07.468273
8,200,0.424667,2026-01-21T12:33:41.559080
8,300,0.377958,2026-01-21T12:37:15.701588
8,400,0.422943,2026-01-21T12:40:49.804707
8,500,0.389130,2026-01-21T12:44:23.784928
9,100,0.383550,2026-01-21T12:52:45.588184
9,200,0.388099,2026-01-21T12:56:19.666108
9,300,0.353579,2026-01-21T12:59:53.743288
9,400,0.403050,2026-01-21T13:03:27.847176
9,500,0.362096,2026-01-21T13:07:01.872800
10,100,0.361001,2026-01-21T13:15:24.952086
10,200,0.350175,2026-01-21T13:18:59.009662
10,300,0.338104,2026-01-21T13:22:33.051507
10,400,0.370378,2026-01-21T13:26:07.099851
10,500,0.333477,2026-01-21T13:29:41.136602
