epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.5228,0.3855,0.4437,0.2467,0.2522,0.2494,0.5364,0.4280,0.4761,0.4298,0.1339,0.2042,493,943,1279,2026-01-20T15:14:53.791814
1,test,0.4808,0.3410,0.3990,0.2082,0.2101,0.2092,0.4153,0.3041,0.3511,0.4330,0.1224,0.1909,413,859,1211,2026-01-20T15:17:05.080055
2,dev,0.5680,0.4832,0.5222,0.4884,0.0938,0.1573,0.3792,0.5871,0.4608,0.3865,0.2978,0.3364,618,1088,1279,2026-01-20T15:37:07.769679
2,test,0.5566,0.4550,0.5007,0.5056,0.0985,0.1648,0.3445,0.5255,0.4162,0.3577,0.2857,0.3177,551,990,1211,2026-01-20T15:39:19.074486
3,dev,0.5885,0.5457,0.5663,0.4806,0.3326,0.3931,0.4764,0.6516,0.5504,0.4333,0.2842,0.3432,698,1186,1279,2026-01-20T15:59:21.962608
3,test,0.5617,0.5153,0.5375,0.4830,0.3414,0.4000,0.4220,0.5596,0.4812,0.4074,0.2886,0.3379,624,1111,1211,2026-01-20T16:01:33.534236
4,dev,0.5612,0.5270,0.5435,0.4036,0.3504,0.3751,0.4967,0.6430,0.5604,0.4429,0.2541,0.3229,674,1201,1279,2026-01-20T16:21:35.832408
4,test,0.5514,0.5095,0.5296,0.4185,0.3764,0.3963,0.4433,0.5426,0.4880,0.4634,0.2770,0.3467,617,1119,1211,2026-01-20T16:23:47.263904
5,dev,0.5789,0.5481,0.5631,0.3953,0.4174,0.4061,0.5489,0.6516,0.5959,0.5161,0.2623,0.3478,701,1211,1279,2026-01-20T16:43:49.986051
5,test,0.5818,0.5318,0.5557,0.4146,0.4354,0.4248,0.5011,0.5596,0.5287,0.5298,0.2595,0.3483,644,1107,1211,2026-01-20T16:46:01.371989
6,dev,0.6082,0.5692,0.5880,0.4181,0.4442,0.4307,0.5763,0.6495,0.6107,0.4772,0.2568,0.3339,728,1197,1279,2026-01-20T17:06:03.819523
6,test,0.6068,0.5607,0.5828,0.4349,0.4748,0.4540,0.5358,0.5645,0.5498,0.4706,0.2566,0.3321,679,1119,1211,2026-01-20T17:08:15.420368
7,dev,0.6395,0.5575,0.5957,0.4575,0.4442,0.4507,0.6091,0.6366,0.6225,0.4536,0.2404,0.3143,713,1115,1279,2026-01-20T17:28:18.749400
7,test,0.6455,0.5623,0.6011,0.5046,0.4836,0.4939,0.5683,0.5669,0.5676,0.4976,0.3003,0.3745,681,1055,1211,2026-01-20T17:30:30.677011
8,dev,0.6738,0.6122,0.6415,0.4989,0.5045,0.5017,0.6163,0.6495,0.6325,0.5160,0.3087,0.3863,783,1162,1279,2026-01-20T17:50:33.455850
8,test,0.6752,0.6111,0.6415,0.5412,0.5602,0.5505,0.5918,0.5645,0.5778,0.5195,0.3499,0.4181,740,1096,1211,2026-01-20T17:52:45.161083
9,dev,0.6744,0.6380,0.6557,0.5088,0.5179,0.5133,0.6054,0.6796,0.6403,0.5431,0.3443,0.4214,816,1210,1279,2026-01-20T18:12:47.704005
9,test,0.6755,0.6342,0.6542,0.5474,0.5689,0.5579,0.5857,0.5985,0.5921,0.5248,0.3703,0.4342,768,1137,1211,2026-01-20T18:14:59.055635
10,dev,0.6755,0.6396,0.6570,0.5138,0.5000,0.5068,0.6139,0.6839,0.6470,0.5331,0.3743,0.4398,818,1211,1279,2026-01-20T18:35:01.658768
10,test,0.6678,0.6259,0.6462,0.5588,0.5514,0.5551,0.5847,0.5961,0.5904,0.5170,0.3994,0.4507,758,1135,1211,2026-01-20T18:37:13.224198
10,test,0.6678,0.6259,0.6462,0.5588,0.5514,0.5551,0.5847,0.5961,0.5904,0.5170,0.3994,0.4507,758,1135,1211,2026-01-20T18:39:24.719031
