epoch,step,loss,timestamp
1,100,1.579989,2026-01-20T18:44:46.608684
1,200,1.352670,2026-01-20T18:48:20.994051
1,300,1.167529,2026-01-20T18:51:55.457357
1,400,1.168618,2026-01-20T18:55:29.647806
1,500,1.059345,2026-01-20T18:59:03.735811
2,100,0.988971,2026-01-20T19:07:16.807097
2,200,0.978612,2026-01-20T19:10:51.218567
2,300,0.847905,2026-01-20T19:14:25.375446
2,400,0.918166,2026-01-20T19:17:59.576241
2,500,0.816188,2026-01-20T19:21:33.837667
3,100,0.777615,2026-01-20T19:29:32.667221
3,200,0.774103,2026-01-20T19:33:06.787596
3,300,0.689425,2026-01-20T19:36:40.898620
3,400,0.744068,2026-01-20T19:40:14.989525
3,500,0.683485,2026-01-20T19:43:49.111808
4,100,0.666389,2026-01-20T19:51:48.158396
4,200,0.684047,2026-01-20T19:55:22.314596
4,300,0.573671,2026-01-20T19:58:56.543025
4,400,0.643433,2026-01-20T20:02:30.682091
4,500,0.587446,2026-01-20T20:06:04.929819
5,100,0.583531,2026-01-20T20:14:03.706919
5,200,0.594041,2026-01-20T20:17:37.882791
5,300,0.508119,2026-01-20T20:21:12.067055
5,400,0.555735,2026-01-20T20:24:46.289244
5,500,0.500379,2026-01-20T20:28:20.437363
6,100,0.520650,2026-01-20T20:36:19.328054
6,200,0.517810,2026-01-20T20:39:53.535462
6,300,0.450756,2026-01-20T20:43:27.744581
6,400,0.490826,2026-01-20T20:47:01.896112
6,500,0.455034,2026-01-20T20:50:36.119995
7,100,0.456182,2026-01-20T20:58:35.180941
7,200,0.451777,2026-01-20T21:02:09.388934
7,300,0.398491,2026-01-20T21:05:43.483178
7,400,0.431820,2026-01-20T21:09:17.667490
7,500,0.400026,2026-01-20T21:12:51.815001
8,100,0.404871,2026-01-20T21:20:50.989930
8,200,0.407106,2026-01-20T21:24:25.094695
8,300,0.351222,2026-01-20T21:27:59.188376
8,400,0.383882,2026-01-20T21:31:33.393959
8,500,0.373946,2026-01-20T21:35:07.601640
9,100,0.362298,2026-01-20T21:43:06.781002
9,200,0.364158,2026-01-20T21:46:41.019109
9,300,0.319126,2026-01-20T21:50:15.250013
9,400,0.362905,2026-01-20T21:53:49.418509
9,500,0.344552,2026-01-20T21:57:23.661218
10,100,0.334984,2026-01-20T22:05:22.775333
10,200,0.335566,2026-01-20T22:08:56.891461
10,300,0.296407,2026-01-20T22:12:31.094244
10,400,0.356413,2026-01-20T22:16:05.329313
10,500,0.324875,2026-01-20T22:19:39.413325
