exp_id,data,kg,seed,data_label,kg_label,f1,precision,recall,epoch
ABL_CUR_CUR_s123,CUR,CUR,123,Curated,Curated (15k),0.6077,0.6233,0.5929,10
ABL_CUR_CUR_s42,CUR,CUR,42,Curated,Curated (15k),0.629,0.7008,0.5706,9
ABL_CUR_CUR_s456,CUR,CUR,456,Curated,Curated (15k),0.6101,0.6449,0.5789,9
ABL_CUR_GEN_s123,CUR,GEN,123,Curated,Generic (3.4M),0.6127,0.6518,0.578,10
ABL_CUR_GEN_s42,CUR,GEN,42,Curated,Generic (3.4M),0.629,0.6698,0.5929,10
ABL_CUR_GEN_s456,CUR,GEN,456,Curated,Generic (3.4M),0.4518,0.4766,0.4294,10
ABL_CUR_NOKG_s123,CUR,NOKG,123,Curated,None,0.6122,0.6706,0.5632,8
ABL_CUR_NOKG_s42,CUR,NOKG,42,Curated,None,0.6236,0.6724,0.5813,9
ABL_CUR_NOKG_s456,CUR,NOKG,456,Curated,None,0.6375,0.6634,0.6135,9
ABL_RAW_CUR_s123,RAW,CUR,123,Raw,Curated (15k),0.6112,0.6432,0.5822,10
ABL_RAW_CUR_s42,RAW,CUR,42,Raw,Curated (15k),0.5992,0.6319,0.5698,10
ABL_RAW_CUR_s456,RAW,CUR,456,Raw,Curated (15k),0.4166,0.4796,0.3683,1
ABL_RAW_GEN_s123,RAW,GEN,123,Raw,Generic (3.4M),0.4467,0.5036,0.4013,4
ABL_RAW_GEN_s42,RAW,GEN,42,Raw,Generic (3.4M),0.5776,0.6103,0.5483,9
ABL_RAW_GEN_s456,RAW,GEN,456,Raw,Generic (3.4M),0.3048,0.3267,0.2857,9
ABL_RAW_NOKG_s123,RAW,NOKG,123,Raw,None,0.6231,0.6554,0.5937,10
ABL_RAW_NOKG_s42,RAW,NOKG,42,Raw,None,0.5966,0.6322,0.5648,10
ABL_RAW_NOKG_s456,RAW,NOKG,456,Raw,None,0.405,0.5407,0.3237,1
