entity_name,entity_type,latitude,longitude,properties
Calle Galeana Sur,carretera,21.8738329,-102.2970415,"{""codigo"":""Calle Galeana Sur"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2}"
Avenida Poliducto,carretera,21.9268271,-102.2572487,"{""codigo"":""Avenida Poliducto"",""tipo"":""calle"",""highway"":""residential""}"
Carretera La Guayana,carretera,21.9793374,-102.25891,"{""codigo"":""AGS65"",""tipo"":""federal"",""highway"":""primary"",""carriles"":1}"
Avenida Punta Campestre,carretera,21.9152921,-102.3290947,"{""codigo"":""Avenida Punta Campestre"",""tipo"":""calle"",""highway"":""residential"",""carriles"":2}"
Calle Epifanio de Silva,carretera,21.8712417,-102.2964899,"{""codigo"":""Calle Epifanio de Silva"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Avenida Ixtláhuatl,carretera,21.8626172,-102.235281,"{""codigo"":""Avenida Ixtláhuatl"",""tipo"":""calle"",""highway"":""construction""}"
Avenida Paseo de la Cuesta,carretera,21.9287972,-102.238659,"{""codigo"":""Avenida Paseo de la Cuesta"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2,""velocidad_max"":""40""}"
Avenida Salud,carretera,21.8693581,-102.2422146,"{""codigo"":""Avenida Salud"",""tipo"":""avenida"",""highway"":""tertiary""}"
Calle República de Ecuador,carretera,21.8703097,-102.3021416,"{""codigo"":""Calle República de Ecuador"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Avenida Paseo del Cielo,carretera,21.9025379,-102.3496045,"{""codigo"":""Avenida Paseo del Cielo"",""tipo"":""calle"",""highway"":""residential""}"
Calle Prolongación General Ignacio Zaragoza,carretera,21.9388402,-102.3085145,"{""codigo"":""Calle Prolongación General Ignacio Zaragoza"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":3}"
Calle Miguel Hidalgo y Costilla,carretera,21.8817329,-102.292628,"{""codigo"":""Calle Miguel Hidalgo y Costilla"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Calle Arroyo,carretera,21.8598397,-102.2458582,"{""codigo"":""Calle Arroyo"",""tipo"":""avenida"",""highway"":""tertiary""}"
Carretera Paso Blanco,carretera,21.9580477,-102.321025,"{""codigo"":""AGS53"",""tipo"":""estatal"",""highway"":""secondary"",""carriles"":2,""velocidad_max"":""60""}"
Carretera Ojo de Agua del Mezquite,carretera,22.0587982,-102.194914,"{""codigo"":""AGS122"",""tipo"":""estatal"",""highway"":""secondary"",""velocidad_max"":""60""}"
Avenida Siglo XXI,carretera,21.8511479,-102.2713292,"{""codigo"":""Avenida Siglo XXI"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":1}"
Avenida Paseo de la Cruz,carretera,21.8737367,-102.2680942,"{""codigo"":""Avenida Paseo de la Cruz"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":3}"
Avenida Siglo XXI,carretera,21.8921913,-102.2533075,"{""codigo"":""Avenida Siglo XXI"",""tipo"":""calle"",""highway"":""trunk_link"",""carriles"":1}"
Avenida Siglo XXI,carretera,21.8767173,-102.2472237,"{""codigo"":""Avenida Siglo XXI"",""tipo"":""federal"",""highway"":""trunk"",""carriles"":4}"
Carretera La Chaveña,carretera,22.0130489,-102.3090542,"{""codigo"":""AGS100"",""tipo"":""estatal"",""highway"":""tertiary"",""velocidad_max"":""60""}"
Calle México,carretera,22.2298135,-102.3187339,"{""codigo"":""MX45"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2,""velocidad_max"":""40""}"
Carretera La Guayana,carretera,21.9818509,-102.2758494,"{""codigo"":""AGS65"",""tipo"":""federal"",""highway"":""primary""}"
Avenida Convención de 1914 Oriente,carretera,21.874669,-102.2710635,"{""codigo"":""MX45"",""tipo"":""federal"",""highway"":""primary"",""carriles"":3,""velocidad_max"":""50""}"
Avenida Licenciado Adolfo López Mateos Oriente,carretera,21.8780151,-102.2719201,"{""codigo"":""MX70"",""tipo"":""federal"",""highway"":""primary"",""carriles"":3}"
Avenida Alameda,carretera,21.8825667,-102.2822911,"{""codigo"":""Avenida Alameda"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":2}"
Avenida Convención de 1914 Oriente,carretera,21.8839819,-102.2725116,"{""codigo"":""MX45"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2,""velocidad_max"":""50""}"
Avenida Alameda,carretera,21.882691,-102.2821622,"{""codigo"":""Avenida Alameda"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":3}"
Avenida Sendero Toscano,carretera,21.9091029,-102.2341644,"{""codigo"":""Avenida Sendero Toscano"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2,""velocidad_max"":""40""}"
Prolongación Alameda,carretera,21.8840869,-102.273446,"{""codigo"":""Prolongación Alameda"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":2}"
Avenida Doctor Pedro de Alba,carretera,21.8751324,-102.3081512,"{""codigo"":""Avenida Doctor Pedro de Alba"",""tipo"":""calle"",""highway"":""residential""}"
Carretera Chicalote,carretera,21.9962462,-102.2446462,"{""codigo"":""AGS85"",""tipo"":""estatal"",""highway"":""secondary""}"
Arroyo El Molino,carretera,21.9346182,-102.3103328,"{""codigo"":""Arroyo El Molino"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Avenida Licenciado Adolfo López Mateos Poniente,carretera,21.8778454,-102.2982866,"{""codigo"":""MX70"",""tipo"":""federal"",""highway"":""primary"",""carriles"":3,""velocidad_max"":""50""}"
Avenida Siglo XXI,carretera,21.8513896,-102.3517494,"{""codigo"":""Avenida Siglo XXI"",""tipo"":""federal"",""highway"":""trunk"",""carriles"":2}"
Avenida Aguascalientes Poniente,carretera,21.8921139,-102.3170897,"{""codigo"":""Avenida Aguascalientes Poniente"",""tipo"":""federal"",""highway"":""primary"",""carriles"":3}"
Calle Alfonso Esparza Oteo,carretera,21.8798704,-102.3061675,"{""codigo"":""Calle Alfonso Esparza Oteo"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Avenida Siglo XXI,carretera,21.9241661,-102.2632103,"{""codigo"":""Avenida Siglo XXI"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":1}"
Avenida Siglo XXI,carretera,21.9075985,-102.2575643,"{""codigo"":""Avenida Siglo XXI"",""tipo"":""federal"",""highway"":""trunk"",""carriles"":3}"
Avenida Benito Juárez,carretera,22.045434,-102.2800744,"{""codigo"":""MX45"",""tipo"":""federal"",""highway"":""primary""}"
Avenida Aguascalientes Norte,carretera,21.9161048,-102.3093388,"{""codigo"":""Avenida Aguascalientes Norte"",""tipo"":""federal"",""highway"":""primary"",""carriles"":3}"
Calle del Jardín de los Lirios,carretera,21.8524894,-102.3323318,"{""codigo"":""Calle del Jardín de los Lirios"",""tipo"":""avenida"",""highway"":""tertiary""}"
Avenida Misioneros,carretera,21.8674052,-102.2684244,"{""codigo"":""Avenida Misioneros"",""tipo"":""calle"",""highway"":""residential"",""carriles"":2}"
Avenida Villalta,carretera,21.8527034,-102.2424036,"{""codigo"":""Avenida Villalta"",""tipo"":""avenida"",""highway"":""tertiary""}"
Calle Jacarandas,carretera,21.8753074,-102.2728377,"{""codigo"":""Calle Jacarandas"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Avenida San Diego Poniente,carretera,22.0299793,-102.2784341,"{""codigo"":""Avenida San Diego Poniente"",""tipo"":""calle"",""highway"":""residential"",""carriles"":1}"
