epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.1696,0.0821,0.1106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0576,0.0956,0.0719,105,619,1279,2026-01-09T01:42:39.110640
1,test,0.1675,0.0826,0.1106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0698,0.1195,0.0882,100,597,1211,2026-01-09T01:44:51.357345
2,dev,0.5072,0.3034,0.3796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1846,0.3852,0.2496,388,765,1279,2026-01-09T01:51:32.124120
2,test,0.5435,0.3402,0.4185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1931,0.4257,0.2657,412,758,1211,2026-01-09T01:53:44.527445
3,dev,0.5648,0.3237,0.4115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2016,0.4016,0.2685,414,733,1279,2026-01-09T02:00:25.199199
3,test,0.5489,0.3245,0.4079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2034,0.4198,0.2740,393,716,1211,2026-01-09T02:02:38.046006
4,dev,0.2198,0.3112,0.2576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0444,0.2158,0.0736,398,1811,1279,2026-01-09T02:09:26.025428
4,test,0.1784,0.2659,0.2135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0447,0.2303,0.0749,322,1805,1211,2026-01-09T02:11:45.845759
5,dev,0.4463,0.2729,0.3387,0.0000,0.0000,0.0000,0.0952,0.0043,0.0082,0.1275,0.2650,0.1721,349,782,1279,2026-01-09T02:18:31.078440
5,test,0.4172,0.2684,0.3266,0.0000,0.0000,0.0000,0.1071,0.0073,0.0137,0.1302,0.2828,0.1783,325,779,1211,2026-01-09T02:20:48.475413
6,dev,0.2536,0.2471,0.2503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0397,0.1339,0.0612,316,1246,1279,2026-01-09T02:27:43.054829
6,test,0.2183,0.2205,0.2194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0408,0.1429,0.0634,267,1223,1211,2026-01-09T02:30:08.795547
7,dev,0.3925,0.3698,0.3808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0853,0.2760,0.1303,473,1205,1279,2026-01-09T02:36:55.782695
7,test,0.3671,0.3617,0.3644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0868,0.2945,0.1341,438,1193,1211,2026-01-09T02:39:14.511336
8,dev,0.5307,0.4996,0.5147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1412,0.4590,0.2159,639,1204,1279,2026-01-09T02:45:55.530376
8,test,0.5045,0.5037,0.5041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1466,0.5073,0.2275,610,1209,1211,2026-01-09T02:48:08.500666
9,dev,0.4353,0.3761,0.4035,0.0000,0.0000,0.0000,0.3023,0.1398,0.1912,0.1195,0.2896,0.1692,481,1105,1279,2026-01-09T02:54:54.786996
9,test,0.4132,0.3617,0.3857,0.0000,0.0000,0.0000,0.1804,0.0852,0.1157,0.1273,0.3178,0.1818,438,1060,1211,2026-01-09T02:57:13.091260
10,dev,0.5205,0.4558,0.4860,0.0896,0.0424,0.0576,0.2394,0.3505,0.2845,0.1743,0.1038,0.1301,583,1120,1279,2026-01-09T03:03:57.119455
10,test,0.4908,0.4401,0.4641,0.1100,0.0503,0.0691,0.1874,0.2968,0.2298,0.2279,0.1429,0.1756,533,1086,1211,2026-01-09T03:06:13.248011
10,test,0.4908,0.4401,0.4641,0.1100,0.0503,0.0691,0.1874,0.2968,0.2298,0.2279,0.1429,0.1756,533,1086,1211,2026-01-09T03:08:29.305572
