epoch,step,loss,timestamp
1,25,1.475217,2026-01-09T05:26:51.514011
1,50,0.926581,2026-01-09T05:27:45.032456
1,75,0.966977,2026-01-09T05:28:38.528801
1,100,1.317570,2026-01-09T05:29:32.070749
1,125,1.131888,2026-01-09T05:30:25.584692
1,150,0.891893,2026-01-09T05:31:19.105112
1,175,1.249943,2026-01-09T05:32:12.650173
1,200,0.850061,2026-01-09T05:33:06.152474
1,225,0.654472,2026-01-09T05:33:59.659274
1,250,1.072912,2026-01-09T05:34:53.138330
2,25,1.009540,2026-01-09T05:40:08.466021
2,50,0.653039,2026-01-09T05:41:01.937481
2,75,0.700522,2026-01-09T05:41:55.430841
2,100,0.987724,2026-01-09T05:42:48.868243
2,125,0.826086,2026-01-09T05:43:42.383632
2,150,0.611615,2026-01-09T05:44:35.839214
2,175,0.991505,2026-01-09T05:45:29.269285
2,200,0.685584,2026-01-09T05:46:22.749422
2,225,0.557276,2026-01-09T05:47:16.248785
2,250,0.858430,2026-01-09T05:48:09.723304
3,25,1.016107,2026-01-09T05:53:24.701486
3,50,0.564304,2026-01-09T05:54:18.150309
3,75,0.593180,2026-01-09T05:55:11.578783
3,100,0.856898,2026-01-09T05:56:05.062986
3,125,0.636757,2026-01-09T05:56:58.541246
3,150,0.472208,2026-01-09T05:57:52.032827
3,175,0.924171,2026-01-09T05:58:45.513949
3,200,0.655758,2026-01-09T05:59:38.961468
3,225,0.481279,2026-01-09T06:00:32.428311
3,250,0.808372,2026-01-09T06:01:25.928198
4,25,0.942435,2026-01-09T06:06:40.757397
4,50,0.470011,2026-01-09T06:07:34.256851
4,75,0.499117,2026-01-09T06:08:27.733893
4,100,0.817887,2026-01-09T06:09:21.226994
4,125,0.615075,2026-01-09T06:10:14.621566
4,150,0.397338,2026-01-09T06:11:08.079471
4,175,0.899795,2026-01-09T06:12:01.543362
4,200,0.626215,2026-01-09T06:12:55.003541
4,225,0.449609,2026-01-09T06:13:48.502393
4,250,0.794907,2026-01-09T06:14:41.942884
5,25,0.890592,2026-01-09T06:19:56.961781
5,50,0.444439,2026-01-09T06:20:50.447003
5,75,0.475183,2026-01-09T06:21:43.871460
5,100,0.754634,2026-01-09T06:22:37.311520
5,125,0.549395,2026-01-09T06:23:30.783654
5,150,0.359804,2026-01-09T06:24:24.251787
5,175,0.910413,2026-01-09T06:25:17.731417
5,200,0.642680,2026-01-09T06:26:11.194616
5,225,0.429808,2026-01-09T06:27:04.660891
5,250,0.759503,2026-01-09T06:27:58.088532
6,25,0.861496,2026-01-09T06:33:13.203497
6,50,0.423314,2026-01-09T06:34:06.653953
6,75,0.441238,2026-01-09T06:35:00.102783
6,100,0.740646,2026-01-09T06:35:53.545145
6,125,0.625725,2026-01-09T06:36:46.957842
6,150,0.328705,2026-01-09T06:37:40.406370
6,175,0.883449,2026-01-09T06:38:33.924291
6,200,0.661439,2026-01-09T06:39:27.360608
6,225,0.411449,2026-01-09T06:40:20.815851
6,250,0.768802,2026-01-09T06:41:14.256841
7,25,0.989652,2026-01-09T06:46:29.624923
7,50,0.407579,2026-01-09T06:47:23.052318
7,75,0.422162,2026-01-09T06:48:16.515117
7,100,0.698036,2026-01-09T06:49:09.936343
7,125,0.650439,2026-01-09T06:50:03.396332
7,150,0.320121,2026-01-09T06:50:56.832923
7,175,0.850571,2026-01-09T06:51:50.284102
7,200,0.728750,2026-01-09T06:52:43.776594
7,225,0.420602,2026-01-09T06:53:37.264004
7,250,0.761285,2026-01-09T06:54:30.675900
8,25,1.258074,2026-01-09T06:59:46.102666
8,50,0.425646,2026-01-09T07:00:39.551514
8,75,0.435989,2026-01-09T07:01:32.976346
8,100,0.700723,2026-01-09T07:02:26.470455
8,125,0.795118,2026-01-09T07:03:19.902604
8,150,0.342711,2026-01-09T07:04:13.406482
8,175,0.834228,2026-01-09T07:05:06.870461
8,200,1.049204,2026-01-09T07:06:00.301937
8,225,0.483853,2026-01-09T07:06:53.787862
8,250,0.716824,2026-01-09T07:07:47.300512
9,25,1.456740,2026-01-09T07:13:03.031986
9,50,0.523600,2026-01-09T07:13:56.504780
9,75,0.437749,2026-01-09T07:14:49.999964
9,100,0.691721,2026-01-09T07:15:43.442382
9,125,1.132549,2026-01-09T07:16:36.910870
9,150,0.495187,2026-01-09T07:17:30.415908
9,175,0.792393,2026-01-09T07:18:23.899721
9,200,1.265481,2026-01-09T07:19:17.331729
9,225,0.646677,2026-01-09T07:20:10.775421
9,250,0.726271,2026-01-09T07:21:04.265821
10,25,1.362435,2026-01-09T07:26:19.717974
10,50,0.774189,2026-01-09T07:27:13.174215
10,75,0.592991,2026-01-09T07:28:06.637620
10,100,0.664845,2026-01-09T07:29:00.114865
10,125,1.227626,2026-01-09T07:29:53.595558
10,150,0.869461,2026-01-09T07:30:47.071354
10,175,0.868022,2026-01-09T07:31:40.507344
10,200,1.168010,2026-01-09T07:32:33.958488
10,225,0.978214,2026-01-09T07:33:27.375975
10,250,0.950958,2026-01-09T07:34:20.866856
