epoch,step,loss,timestamp
1,100,1.105127,2026-01-11T01:08:46.434768
1,200,0.972913,2026-01-11T01:12:21.004346
2,100,1.246716,2026-01-11T01:22:08.094892
2,200,0.748369,2026-01-11T01:25:42.370526
3,100,1.063235,2026-01-11T01:35:28.379761
3,200,0.619975,2026-01-11T01:39:02.664198
4,100,0.987857,2026-01-11T01:48:49.101344
4,200,0.582457,2026-01-11T01:52:23.330388
5,100,0.913056,2026-01-11T02:02:09.728789
5,200,0.532103,2026-01-11T02:05:43.976903
6,100,0.815979,2026-01-11T02:15:30.331442
6,200,0.497269,2026-01-11T02:19:04.564564
7,100,0.774551,2026-01-11T02:28:51.666348
7,200,0.497483,2026-01-11T02:32:25.903561
8,100,0.756311,2026-01-11T02:42:12.945140
8,200,0.540470,2026-01-11T02:45:47.176266
9,100,0.798676,2026-01-11T02:55:34.372419
9,200,0.614068,2026-01-11T02:59:08.651271
10,100,1.095769,2026-01-11T03:08:55.999259
10,200,0.939132,2026-01-11T03:12:30.246659
