epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4173,0.2682,0.3265,0.0000,0.0000,0.0000,0.5839,0.1720,0.2658,0.1170,0.2158,0.1518,343,822,1279,2026-01-11T01:16:22.563147
1,test,0.3557,0.2411,0.2874,0.0000,0.0000,0.0000,0.3277,0.0949,0.1472,0.1023,0.2070,0.1369,292,821,1211,2026-01-11T01:18:35.301933
2,dev,0.4964,0.2158,0.3008,0.0000,0.0000,0.0000,0.5981,0.1376,0.2238,0.1198,0.1421,0.1300,276,556,1279,2026-01-11T01:29:43.244626
2,test,0.4350,0.1990,0.2731,0.0000,0.0000,0.0000,0.4022,0.0900,0.1471,0.1214,0.1603,0.1382,241,554,1211,2026-01-11T01:31:55.581778
3,dev,0.5738,0.2948,0.3895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1384,0.2432,0.1764,377,657,1279,2026-01-11T01:43:03.796455
3,test,0.5215,0.2808,0.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1471,0.2741,0.1914,340,652,1211,2026-01-11T01:45:16.284031
4,dev,0.5278,0.3487,0.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1244,0.2842,0.1730,446,845,1279,2026-01-11T01:56:24.458787
4,test,0.4781,0.3245,0.3866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1346,0.3207,0.1897,393,822,1211,2026-01-11T01:58:36.982441
5,dev,0.6435,0.3401,0.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1632,0.2978,0.2108,435,676,1279,2026-01-11T02:09:45.102803
5,test,0.6140,0.3468,0.4433,0.0000,0.0000,0.0000,1.0000,0.0024,0.0049,0.1755,0.3469,0.2331,420,684,1211,2026-01-11T02:11:57.605912
6,dev,0.5859,0.4159,0.4865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1641,0.4044,0.2334,532,908,1279,2026-01-11T02:23:05.965963
6,test,0.5406,0.3906,0.4535,0.0000,0.0000,0.0000,1.0000,0.0024,0.0049,0.1609,0.4082,0.2308,473,875,1211,2026-01-11T02:25:18.953932
7,dev,0.5760,0.4621,0.5128,0.0000,0.0000,0.0000,0.6667,0.0043,0.0085,0.1561,0.4290,0.2289,591,1026,1279,2026-01-11T02:36:27.438317
7,test,0.5495,0.4443,0.4913,0.0000,0.0000,0.0000,1.0000,0.0073,0.0145,0.1610,0.4548,0.2378,538,979,1211,2026-01-11T02:38:40.228114
8,dev,0.6481,0.5457,0.5925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1822,0.5328,0.2716,698,1077,1279,2026-01-11T02:49:48.773359
8,test,0.6459,0.5483,0.5931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1963,0.5831,0.2937,664,1028,1211,2026-01-11T02:52:01.732913
9,dev,0.6732,0.5606,0.6118,0.0000,0.0000,0.0000,1.0000,0.0022,0.0043,0.1934,0.5601,0.2875,717,1065,1279,2026-01-11T03:03:10.276374
9,test,0.7008,0.5706,0.6290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2126,0.6093,0.3152,691,986,1211,2026-01-11T03:05:23.275884
10,dev,0.6018,0.5895,0.5956,0.3816,0.1942,0.2574,0.3734,0.6473,0.4736,0.3619,0.2077,0.2639,754,1253,1279,2026-01-11T03:16:32.769029
10,test,0.6096,0.5764,0.5925,0.4554,0.2232,0.2996,0.3155,0.5304,0.3956,0.3778,0.2478,0.2993,698,1145,1211,2026-01-11T03:18:46.675843
10,test,0.6096,0.5764,0.5925,0.4554,0.2232,0.2996,0.3155,0.5304,0.3956,0.3778,0.2478,0.2993,698,1145,1211,2026-01-11T03:21:00.518254
