epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.6029,0.1970,0.2970,0.0000,0.0000,0.0000,0.6250,0.0108,0.0211,0.1976,0.2213,0.2088,252,418,1279,2026-01-10T18:23:01.885185
1,test,0.5500,0.1998,0.2932,0.0000,0.0000,0.0000,1.0000,0.0122,0.0240,0.1866,0.2362,0.2085,242,440,1211,2026-01-10T18:25:14.819677
2,dev,0.5155,0.2604,0.3460,0.0000,0.0000,0.0000,0.9000,0.0194,0.0379,0.1361,0.2350,0.1723,333,646,1279,2026-01-10T18:36:24.631718
2,test,0.4716,0.2535,0.3298,0.0000,0.0000,0.0000,0.8333,0.0122,0.0240,0.1355,0.2536,0.1766,307,651,1211,2026-01-10T18:38:37.928385
3,dev,0.5799,0.3151,0.4083,0.0000,0.0000,0.0000,0.9048,0.0409,0.0782,0.1602,0.2951,0.2077,403,695,1279,2026-01-10T18:49:47.847894
3,test,0.5359,0.3146,0.3965,0.0000,0.0000,0.0000,0.7000,0.0170,0.0333,0.1559,0.3178,0.2092,381,711,1211,2026-01-10T18:52:01.098806
4,dev,0.4919,0.4034,0.4433,0.0000,0.0000,0.0000,0.5122,0.1355,0.2143,0.1300,0.3279,0.1862,516,1049,1279,2026-01-10T19:03:11.315717
4,test,0.4434,0.3881,0.4139,0.0000,0.0000,0.0000,0.3824,0.0949,0.1520,0.1238,0.3440,0.1821,470,1060,1211,2026-01-10T19:05:24.873144
5,dev,0.5163,0.4574,0.4851,0.0000,0.0000,0.0000,0.6028,0.1828,0.2805,0.1400,0.3770,0.2041,585,1133,1279,2026-01-10T19:16:35.064272
5,test,0.4583,0.4261,0.4416,0.0000,0.0000,0.0000,0.4490,0.1071,0.1729,0.1245,0.3703,0.1864,516,1126,1211,2026-01-10T19:18:48.498658
6,dev,0.5694,0.5004,0.5327,1.0000,0.0022,0.0045,0.6000,0.1548,0.2462,0.1528,0.4153,0.2234,640,1124,1279,2026-01-10T19:29:58.666931
6,test,0.5040,0.4682,0.4854,0.0000,0.0000,0.0000,0.4304,0.0827,0.1388,0.1360,0.4111,0.2043,567,1125,1211,2026-01-10T19:32:12.245849
7,dev,0.5913,0.5113,0.5484,0.0000,0.0000,0.0000,0.6554,0.2086,0.3165,0.1677,0.4344,0.2420,654,1106,1279,2026-01-10T19:43:22.456975
7,test,0.5381,0.4781,0.5063,0.0000,0.0000,0.0000,0.3932,0.1119,0.1742,0.1597,0.4431,0.2347,579,1076,1211,2026-01-10T19:45:36.021594
8,dev,0.6018,0.5317,0.5645,0.0000,0.0000,0.0000,0.8169,0.1247,0.2164,0.1717,0.4945,0.2549,680,1130,1279,2026-01-10T19:56:46.300312
8,test,0.5802,0.5169,0.5467,0.0000,0.0000,0.0000,0.6667,0.0730,0.1316,0.1691,0.5073,0.2536,626,1079,1211,2026-01-10T19:58:59.943832
9,dev,0.5796,0.5207,0.5486,0.0000,0.0000,0.0000,0.7456,0.1828,0.2936,0.1621,0.4563,0.2393,666,1149,1279,2026-01-10T20:10:12.134684
9,test,0.5730,0.5054,0.5371,0.0000,0.0000,0.0000,0.4800,0.0876,0.1481,0.1729,0.4985,0.2568,612,1068,1211,2026-01-10T20:12:27.938818
10,dev,0.6554,0.5903,0.6211,0.5083,0.2746,0.3565,0.3926,0.5226,0.4483,0.4057,0.3115,0.3524,755,1152,1279,2026-01-10T20:23:38.194324
10,test,0.6698,0.5929,0.6290,0.4711,0.2319,0.3109,0.3393,0.4647,0.3922,0.4209,0.3411,0.3768,718,1072,1211,2026-01-10T20:25:51.796111
10,test,0.6698,0.5929,0.6290,0.4711,0.2319,0.3109,0.3393,0.4647,0.3922,0.4209,0.3411,0.3768,718,1072,1211,2026-01-10T20:28:05.458485
