epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4669,0.2260,0.3045,0.0000,0.0000,0.0000,0.7727,0.0731,0.1336,0.1617,0.2541,0.1977,289,619,1279,2026-01-10T11:33:19.541524
1,test,0.4136,0.2056,0.2747,0.0000,0.0000,0.0000,0.4167,0.0122,0.0236,0.1542,0.2653,0.1951,249,602,1211,2026-01-10T11:35:32.636594
2,dev,0.5228,0.1884,0.2770,0.0000,0.0000,0.0000,0.4933,0.1591,0.2407,0.1093,0.0929,0.1004,241,461,1279,2026-01-10T11:46:39.416867
2,test,0.4530,0.1792,0.2568,0.0000,0.0000,0.0000,0.3359,0.1046,0.1596,0.1339,0.1370,0.1354,217,479,1211,2026-01-10T11:48:51.074211
3,dev,0.6508,0.2346,0.3448,0.0000,0.0000,0.0000,0.5000,0.0151,0.0292,0.1253,0.1530,0.1378,300,461,1279,2026-01-10T11:59:58.148063
3,test,0.5794,0.2139,0.3124,0.0000,0.0000,0.0000,0.7059,0.0292,0.0561,0.1535,0.1924,0.1708,259,447,1211,2026-01-10T12:02:09.671278
4,dev,0.6321,0.3049,0.4114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1459,0.2459,0.1831,390,617,1279,2026-01-10T12:13:17.008016
4,test,0.5872,0.3031,0.3998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1648,0.3003,0.2128,367,625,1211,2026-01-10T12:15:28.665088
5,dev,0.6713,0.4183,0.5154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1744,0.3798,0.2390,535,797,1279,2026-01-10T12:26:36.094635
5,test,0.6443,0.4129,0.5033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1817,0.4111,0.2520,500,776,1211,2026-01-10T12:28:47.967641
6,dev,0.6097,0.4738,0.5332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1650,0.4481,0.2412,606,994,1279,2026-01-10T12:39:55.458370
6,test,0.5873,0.4500,0.5096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1659,0.4490,0.2423,545,928,1211,2026-01-10T12:42:07.667437
7,dev,0.6056,0.5090,0.5531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1591,0.4672,0.2373,651,1075,1279,2026-01-10T12:53:15.480863
7,test,0.5828,0.4855,0.5297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1655,0.4869,0.2470,588,1009,1211,2026-01-10T12:55:27.646196
8,dev,0.6341,0.5676,0.5990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1738,0.5437,0.2634,726,1145,1279,2026-01-10T13:06:35.507483
8,test,0.6393,0.5648,0.5997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1850,0.5773,0.2803,684,1070,1211,2026-01-10T13:08:47.886688
9,dev,0.6596,0.5833,0.6191,0.0000,0.0000,0.0000,0.4167,0.0108,0.0210,0.1886,0.5765,0.2842,746,1131,1279,2026-01-10T13:19:55.615884
9,test,0.6724,0.5813,0.6236,0.0000,0.0000,0.0000,0.5357,0.0365,0.0683,0.2031,0.6035,0.3040,704,1047,1211,2026-01-10T13:22:07.946222
10,dev,0.5938,0.5817,0.5877,0.3320,0.1786,0.2322,0.3758,0.6215,0.4684,0.3128,0.2077,0.2496,744,1253,1279,2026-01-10T13:33:16.817728
10,test,0.6124,0.5780,0.5947,0.4375,0.2144,0.2878,0.3187,0.5109,0.3925,0.3462,0.2624,0.2985,700,1143,1211,2026-01-10T13:35:30.077254
10,test,0.6124,0.5780,0.5947,0.4375,0.2144,0.2878,0.3187,0.5109,0.3925,0.3462,0.2624,0.2985,700,1143,1211,2026-01-10T13:37:43.323046
