epoch,step,loss,timestamp
1,100,1.625016,2026-01-12T14:56:35.375593
1,200,1.360518,2026-01-12T15:00:09.707597
2,100,1.746333,2026-01-12T15:09:57.294753
2,200,1.044372,2026-01-12T15:13:31.528334
3,100,1.318636,2026-01-12T15:23:29.745974
3,200,0.827431,2026-01-12T15:27:03.874317
4,100,1.105538,2026-01-12T15:37:05.165547
4,200,0.698742,2026-01-12T15:40:39.455104
5,100,0.937944,2026-01-12T15:50:44.496971
5,200,0.608213,2026-01-12T15:54:18.690173
6,100,0.828409,2026-01-12T16:04:24.476633
6,200,0.530273,2026-01-12T16:07:58.721451
7,100,0.698820,2026-01-12T16:18:07.680086
7,200,0.465484,2026-01-12T16:21:41.973671
8,100,0.637843,2026-01-12T16:31:49.397297
8,200,0.414208,2026-01-12T16:35:23.625704
9,100,0.563274,2026-01-12T16:45:27.919242
9,200,0.366737,2026-01-12T16:49:02.170150
10,100,0.518694,2026-01-12T16:59:11.189125
10,200,0.330349,2026-01-12T17:02:45.427351
