epoch,step,loss,timestamp
1,100,1.645011,2026-01-12T03:27:06.676149
1,200,1.356785,2026-01-12T03:30:41.237126
2,100,1.730701,2026-01-12T03:40:26.928993
2,200,0.984489,2026-01-12T03:44:01.412336
3,100,1.301574,2026-01-12T03:53:46.617060
3,200,0.795782,2026-01-12T03:57:20.906533
4,100,1.102477,2026-01-12T04:07:06.176674
4,200,0.671694,2026-01-12T04:10:40.527045
5,100,0.939323,2026-01-12T04:20:25.647180
5,200,0.584388,2026-01-12T04:24:00.104095
6,100,0.861540,2026-01-12T04:33:45.591607
6,200,0.517089,2026-01-12T04:37:20.059075
7,100,0.761496,2026-01-12T04:47:05.791002
7,200,0.466701,2026-01-12T04:50:40.249560
8,100,0.682730,2026-01-12T05:00:25.636491
8,200,0.424435,2026-01-12T05:04:00.038915
9,100,0.624876,2026-01-12T05:13:45.677093
9,200,0.387740,2026-01-12T05:17:20.148119
10,100,0.586233,2026-01-12T05:27:05.670540
10,200,0.372284,2026-01-12T05:30:40.095020
