epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.5265,0.3651,0.4312,0.2354,0.1987,0.2155,0.5945,0.2774,0.3783,0.2827,0.2186,0.2465,467,887,1279,2026-01-12T03:34:42.138184
1,test,0.5192,0.3567,0.4229,0.2817,0.2385,0.2583,0.5592,0.2068,0.3020,0.3252,0.2711,0.2957,432,832,1211,2026-01-12T03:36:54.063731
2,dev,0.4914,0.4011,0.4417,0.2638,0.2031,0.2295,0.4503,0.4774,0.4635,0.3953,0.1858,0.2528,513,1044,1279,2026-01-12T03:48:02.135336
2,test,0.4464,0.3509,0.3930,0.2887,0.2123,0.2446,0.3341,0.3479,0.3409,0.4713,0.2157,0.2960,425,952,1211,2026-01-12T03:50:13.768830
3,dev,0.4890,0.4183,0.4509,0.3276,0.2567,0.2879,0.4149,0.5032,0.4548,0.4733,0.1940,0.2752,535,1094,1279,2026-01-12T04:01:21.557153
3,test,0.4639,0.3922,0.4251,0.3409,0.2626,0.2967,0.3440,0.4185,0.3776,0.5338,0.2303,0.3218,475,1024,1211,2026-01-12T04:03:33.333774
4,dev,0.5531,0.4808,0.5144,0.3802,0.3259,0.3510,0.4750,0.5312,0.5015,0.5087,0.2404,0.3265,615,1112,1279,2026-01-12T04:14:40.967189
4,test,0.5229,0.4525,0.4852,0.3895,0.3239,0.3536,0.3897,0.4428,0.4146,0.5000,0.2595,0.3417,548,1048,1211,2026-01-12T04:16:52.719364
5,dev,0.5966,0.5192,0.5552,0.4359,0.3795,0.4057,0.4968,0.5032,0.5000,0.4784,0.3033,0.3712,664,1113,1279,2026-01-12T04:28:00.853933
5,test,0.5943,0.5128,0.5505,0.4439,0.4070,0.4247,0.4534,0.4380,0.4455,0.5115,0.3236,0.3964,621,1045,1211,2026-01-12T04:30:12.711368
6,dev,0.6118,0.5496,0.5791,0.4487,0.3906,0.4177,0.5632,0.5075,0.5339,0.4085,0.3661,0.3862,703,1149,1279,2026-01-12T04:41:20.822396
6,test,0.6090,0.5491,0.5775,0.4649,0.4201,0.4414,0.4917,0.4331,0.4605,0.4528,0.4052,0.4277,665,1092,1211,2026-01-12T04:43:32.842127
7,dev,0.5892,0.5450,0.5662,0.4135,0.3839,0.3981,0.5606,0.5075,0.5327,0.3994,0.3579,0.3775,697,1183,1279,2026-01-12T04:54:40.944596
7,test,0.5797,0.5318,0.5547,0.4282,0.4048,0.4162,0.5015,0.4185,0.4562,0.4138,0.3848,0.3988,644,1111,1211,2026-01-12T04:56:52.784757
8,dev,0.5912,0.5450,0.5671,0.4531,0.3884,0.4183,0.5811,0.5161,0.5467,0.3564,0.3525,0.3544,697,1179,1279,2026-01-12T05:08:00.824500
8,test,0.5956,0.5376,0.5651,0.4818,0.4354,0.4575,0.5373,0.4209,0.4720,0.3860,0.3848,0.3854,651,1093,1211,2026-01-12T05:10:12.777717
9,dev,0.6014,0.5473,0.5731,0.4817,0.3817,0.4259,0.5929,0.5011,0.5431,0.3506,0.3880,0.3684,700,1164,1279,2026-01-12T05:21:20.842949
9,test,0.6103,0.5483,0.5776,0.4899,0.4267,0.4561,0.5705,0.4136,0.4795,0.3711,0.4111,0.3900,664,1088,1211,2026-01-12T05:23:32.797181
10,dev,0.6217,0.5590,0.5887,0.4971,0.3862,0.4347,0.5807,0.5570,0.5686,0.3895,0.3661,0.3775,715,1150,1279,2026-01-12T05:34:40.856080
10,test,0.6087,0.5434,0.5742,0.4717,0.4201,0.4444,0.5387,0.4745,0.5045,0.4295,0.3732,0.3994,658,1081,1211,2026-01-12T05:36:52.922164
10,test,0.6087,0.5434,0.5742,0.4717,0.4201,0.4444,0.5387,0.4745,0.5045,0.4295,0.3732,0.3994,658,1081,1211,2026-01-12T05:39:04.930327
