epoch,step,loss,timestamp
1,100,1.559128,2026-01-12T01:07:45.840556
1,200,1.307120,2026-01-12T01:11:19.814249
2,100,1.666828,2026-01-12T01:21:04.137632
2,200,1.003778,2026-01-12T01:24:37.994960
3,100,1.268310,2026-01-12T01:34:34.426863
3,200,0.801528,2026-01-12T01:38:08.290465
4,100,1.054203,2026-01-12T01:48:08.001259
4,200,0.674695,2026-01-12T01:51:41.938599
5,100,0.899228,2026-01-12T02:01:44.352388
5,200,0.598411,2026-01-12T02:05:18.223443
6,100,0.794765,2026-01-12T02:15:22.788605
6,200,0.523337,2026-01-12T02:18:56.593722
7,100,0.680666,2026-01-12T02:29:02.282160
7,200,0.451828,2026-01-12T02:32:36.202465
8,100,0.619774,2026-01-12T02:42:40.281646
8,200,0.397897,2026-01-12T02:46:14.112296
9,100,0.546559,2026-01-12T02:56:16.533509
9,200,0.353936,2026-01-12T02:59:50.408565
10,100,0.503400,2026-01-12T03:09:55.357584
10,200,0.314408,2026-01-12T03:13:29.175919
