epoch,step,loss,timestamp
1,100,1.379916,2026-01-19T16:18:52.305382
1,200,1.104628,2026-01-19T16:22:26.999391
1,300,0.971549,2026-01-19T16:26:01.692741
1,400,0.939316,2026-01-19T16:29:36.343501
1,500,0.883112,2026-01-19T16:33:10.966486
2,100,0.850811,2026-01-19T16:41:11.246559
2,200,0.771981,2026-01-19T16:44:45.922557
2,300,0.715029,2026-01-19T16:48:20.536319
2,400,0.700324,2026-01-19T16:51:55.242917
2,500,0.646173,2026-01-19T16:55:29.989698
3,100,0.646377,2026-01-19T17:03:30.109384
3,200,0.607925,2026-01-19T17:07:04.796263
3,300,0.570419,2026-01-19T17:10:39.489646
3,400,0.558093,2026-01-19T17:14:14.184269
3,500,0.519511,2026-01-19T17:17:48.861424
4,100,0.529991,2026-01-19T17:25:49.278161
4,200,0.505445,2026-01-19T17:29:24.017164
4,300,0.465402,2026-01-19T17:32:58.635557
4,400,0.470327,2026-01-19T17:36:33.173276
4,500,0.436051,2026-01-19T17:40:07.828882
5,100,0.447958,2026-01-19T17:48:07.922930
5,200,0.432540,2026-01-19T17:51:42.575619
5,300,0.403123,2026-01-19T17:55:17.225489
5,400,0.394345,2026-01-19T17:58:51.918278
5,500,0.368030,2026-01-19T18:02:26.610420
6,100,0.385050,2026-01-19T18:10:27.146771
6,200,0.368278,2026-01-19T18:14:01.888294
6,300,0.338657,2026-01-19T18:17:36.543478
6,400,0.341923,2026-01-19T18:21:11.253561
6,500,0.326167,2026-01-19T18:24:45.948029
7,100,0.331417,2026-01-19T18:32:46.573531
7,200,0.323299,2026-01-19T18:36:21.195810
7,300,0.307147,2026-01-19T18:39:55.848178
7,400,0.307353,2026-01-19T18:43:30.577513
7,500,0.296385,2026-01-19T18:47:05.271467
8,100,0.297725,2026-01-19T18:55:05.847210
8,200,0.288531,2026-01-19T18:58:40.430410
8,300,0.283532,2026-01-19T19:02:14.973295
8,400,0.277914,2026-01-19T19:05:49.687691
8,500,0.271473,2026-01-19T19:09:24.318391
9,100,0.262264,2026-01-19T19:17:24.524332
9,200,0.264174,2026-01-19T19:20:59.191148
9,300,0.253395,2026-01-19T19:24:33.819021
9,400,0.252470,2026-01-19T19:28:08.495555
9,500,0.247820,2026-01-19T19:31:43.171972
10,100,0.241984,2026-01-19T19:39:43.552331
10,200,0.250096,2026-01-19T19:43:18.252317
10,300,0.238154,2026-01-19T19:46:52.923947
10,400,0.238891,2026-01-19T19:50:27.587926
10,500,0.225386,2026-01-19T19:54:02.309783
