epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4222,0.3096,0.3572,0.2239,0.2344,0.2290,0.6333,0.3677,0.4653,0.2147,0.1120,0.1472,396,938,1279,2026-01-20T00:09:17.225094
1,test,0.4277,0.2808,0.3390,0.2760,0.2670,0.2714,0.5353,0.2214,0.3133,0.2849,0.1487,0.1954,340,795,1211,2026-01-20T00:11:28.806172
2,dev,0.5422,0.4472,0.4901,0.4012,0.3080,0.3485,0.5429,0.5849,0.5631,0.3202,0.1776,0.2285,572,1055,1279,2026-01-20T00:31:32.161403
2,test,0.5410,0.4253,0.4762,0.4561,0.3414,0.3905,0.4275,0.4307,0.4291,0.3085,0.1691,0.2185,515,952,1211,2026-01-20T00:33:43.853839
3,dev,0.5545,0.5410,0.5477,0.3709,0.4263,0.3967,0.6444,0.5613,0.6000,0.2950,0.2596,0.2762,692,1248,1279,2026-01-20T00:53:47.031811
3,test,0.5354,0.5120,0.5234,0.3925,0.4551,0.4215,0.5541,0.4112,0.4721,0.3145,0.2915,0.3026,620,1158,1211,2026-01-20T00:55:58.868563
4,dev,0.5255,0.5551,0.5399,0.3820,0.4442,0.4107,0.6159,0.6000,0.6078,0.2908,0.2923,0.2916,710,1351,1279,2026-01-20T01:16:02.384052
4,test,0.5308,0.5409,0.5358,0.4195,0.4792,0.4474,0.5296,0.4574,0.4909,0.3170,0.3207,0.3188,655,1234,1211,2026-01-20T01:18:14.313948
5,dev,0.5772,0.5668,0.5720,0.4242,0.4621,0.4423,0.6312,0.6000,0.6152,0.3467,0.3060,0.3251,725,1256,1279,2026-01-20T01:38:17.481319
5,test,0.5673,0.5500,0.5585,0.4551,0.5098,0.4809,0.5681,0.4769,0.5185,0.3376,0.3061,0.3211,666,1174,1211,2026-01-20T01:40:29.381709
6,dev,0.6063,0.5911,0.5986,0.4055,0.4978,0.4469,0.6723,0.5957,0.6317,0.3873,0.3005,0.3385,756,1247,1279,2026-01-20T02:00:32.600790
6,test,0.6026,0.5772,0.5896,0.4476,0.5514,0.4941,0.6258,0.4599,0.5302,0.4089,0.3469,0.3754,699,1160,1211,2026-01-20T02:02:44.559376
7,dev,0.6104,0.5942,0.6022,0.4136,0.5022,0.4536,0.6472,0.6194,0.6330,0.4297,0.3005,0.3537,760,1245,1279,2026-01-20T02:22:48.044101
7,test,0.6149,0.5879,0.6011,0.4649,0.5646,0.5099,0.6047,0.4988,0.5467,0.4444,0.3382,0.3841,712,1158,1211,2026-01-20T02:24:59.960663
8,dev,0.6285,0.6059,0.6170,0.4425,0.5067,0.4724,0.6364,0.6323,0.6343,0.4574,0.3224,0.3782,775,1233,1279,2026-01-20T02:45:03.360882
8,test,0.6228,0.5945,0.6084,0.4800,0.5514,0.5132,0.5944,0.5207,0.5551,0.4552,0.3557,0.3993,720,1156,1211,2026-01-20T02:47:15.232114
9,dev,0.6117,0.5950,0.6033,0.4749,0.4866,0.4807,0.6008,0.6731,0.6349,0.4280,0.3087,0.3587,761,1244,1279,2026-01-20T03:07:18.437968
9,test,0.6176,0.5896,0.6033,0.5247,0.5339,0.5293,0.5366,0.5523,0.5444,0.4361,0.3382,0.3810,714,1156,1211,2026-01-20T03:09:30.262212
10,dev,0.6132,0.6185,0.6158,0.4683,0.5112,0.4888,0.6149,0.6903,0.6505,0.4552,0.3470,0.3938,791,1290,1279,2026-01-20T03:29:33.797332
10,test,0.6122,0.6036,0.6079,0.5030,0.5558,0.5281,0.5478,0.5572,0.5525,0.4201,0.3294,0.3693,731,1194,1211,2026-01-20T03:31:45.590017
10,test,0.6122,0.6036,0.6079,0.5030,0.5558,0.5281,0.5478,0.5572,0.5525,0.4201,0.3294,0.3693,731,1194,1211,2026-01-20T03:33:57.445948
