epoch,step,loss,timestamp
1,100,1.514482,2026-01-18T17:37:24.195878
1,200,1.228163,2026-01-18T17:40:58.281395
1,300,1.076663,2026-01-18T17:44:32.325486
1,400,0.968523,2026-01-18T17:48:06.353932
1,500,0.929433,2026-01-18T17:51:40.363311
2,100,0.852455,2026-01-18T17:59:38.843898
2,200,0.813916,2026-01-18T18:03:12.897407
2,300,0.756270,2026-01-18T18:06:46.874170
2,400,0.707644,2026-01-18T18:10:20.953968
2,500,0.683978,2026-01-18T18:13:55.017821
3,100,0.663812,2026-01-18T18:21:53.656256
3,200,0.641929,2026-01-18T18:25:27.646942
3,300,0.599424,2026-01-18T18:29:01.721511
3,400,0.571841,2026-01-18T18:32:35.799293
3,500,0.563944,2026-01-18T18:36:09.845483
4,100,0.557406,2026-01-18T18:44:08.127151
4,200,0.541480,2026-01-18T18:47:42.105388
4,300,0.506929,2026-01-18T18:51:16.124537
4,400,0.493316,2026-01-18T18:54:50.087529
4,500,0.478425,2026-01-18T18:58:24.090304
5,100,0.477664,2026-01-18T19:06:22.209135
5,200,0.478110,2026-01-18T19:09:56.197177
5,300,0.449136,2026-01-18T19:13:30.154699
5,400,0.435446,2026-01-18T19:17:04.162204
5,500,0.419561,2026-01-18T19:20:38.167870
6,100,0.422032,2026-01-18T19:28:36.156065
6,200,0.425185,2026-01-18T19:32:10.095425
6,300,0.398911,2026-01-18T19:35:44.100564
6,400,0.380616,2026-01-18T19:39:18.104999
6,500,0.381258,2026-01-18T19:42:52.130005
7,100,0.383248,2026-01-18T19:50:50.022637
7,200,0.376003,2026-01-18T19:54:23.987825
7,300,0.360757,2026-01-18T19:57:57.944675
7,400,0.345446,2026-01-18T20:01:31.876111
7,500,0.349022,2026-01-18T20:05:05.782144
8,100,0.339817,2026-01-18T20:13:03.575162
8,200,0.346847,2026-01-18T20:16:37.437181
8,300,0.331243,2026-01-18T20:20:11.426074
8,400,0.318166,2026-01-18T20:23:45.474780
8,500,0.317676,2026-01-18T20:27:19.463677
9,100,0.319139,2026-01-18T20:35:17.154430
9,200,0.316685,2026-01-18T20:38:51.123424
9,300,0.310345,2026-01-18T20:42:25.093776
9,400,0.303704,2026-01-18T20:45:59.218137
9,500,0.297525,2026-01-18T20:49:33.196938
10,100,0.292812,2026-01-18T20:57:31.223580
10,200,0.294386,2026-01-18T21:01:05.164000
10,300,0.295109,2026-01-18T21:04:39.134329
10,400,0.283630,2026-01-18T21:08:13.094883
10,500,0.289694,2026-01-18T21:11:47.039943
