epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4002,0.2948,0.3395,0.2868,0.2567,0.2709,0.4587,0.3226,0.3788,0.1930,0.0902,0.1229,377,942,1279,2026-01-19T01:27:05.733160
1,test,0.3636,0.2444,0.2923,0.3140,0.2604,0.2847,0.3399,0.2092,0.2590,0.1923,0.0875,0.1202,296,814,1211,2026-01-19T01:29:17.878932
2,dev,0.4938,0.4668,0.4799,0.3759,0.3482,0.3615,0.5810,0.4473,0.5055,0.2249,0.2568,0.2398,597,1209,1279,2026-01-19T01:49:21.015010
2,test,0.4725,0.4335,0.4522,0.4244,0.3807,0.4014,0.4912,0.3406,0.4023,0.2049,0.2420,0.2219,525,1111,1211,2026-01-19T01:51:33.271343
3,dev,0.5157,0.5254,0.5205,0.3761,0.3996,0.3874,0.5833,0.5419,0.5619,0.2565,0.2705,0.2633,672,1303,1279,2026-01-19T02:11:36.212992
3,test,0.5076,0.4955,0.5015,0.4181,0.4354,0.4266,0.5465,0.4428,0.4892,0.2616,0.2799,0.2704,600,1182,1211,2026-01-19T02:13:48.461031
4,dev,0.5487,0.5504,0.5496,0.4262,0.3996,0.4124,0.5995,0.5441,0.5705,0.2811,0.3333,0.3050,704,1283,1279,2026-01-19T02:33:51.528085
4,test,0.5359,0.5178,0.5267,0.4531,0.4333,0.4430,0.5525,0.4355,0.4871,0.2843,0.3382,0.3089,627,1170,1211,2026-01-19T02:36:03.813605
5,dev,0.5737,0.5450,0.5589,0.4187,0.4308,0.4246,0.6383,0.5656,0.5998,0.3273,0.2978,0.3119,697,1215,1279,2026-01-19T02:56:06.827445
5,test,0.5498,0.5194,0.5342,0.4496,0.4683,0.4587,0.5503,0.4526,0.4967,0.3119,0.2974,0.3045,629,1144,1211,2026-01-19T02:58:19.003043
6,dev,0.5993,0.5614,0.5797,0.4277,0.4754,0.4503,0.6416,0.5505,0.5926,0.3797,0.3060,0.3389,718,1198,1279,2026-01-19T03:18:21.800789
6,test,0.5641,0.5268,0.5448,0.4389,0.5033,0.4689,0.5541,0.4234,0.4800,0.3391,0.2857,0.3101,638,1131,1211,2026-01-19T03:20:34.065084
7,dev,0.6094,0.5770,0.5928,0.4524,0.4777,0.4647,0.6727,0.5613,0.6120,0.3584,0.3388,0.3483,738,1211,1279,2026-01-19T03:40:37.192205
7,test,0.5767,0.5524,0.5643,0.4442,0.4880,0.4651,0.5755,0.4453,0.5021,0.3442,0.3382,0.3412,669,1160,1211,2026-01-19T03:42:49.599393
8,dev,0.6065,0.5809,0.5935,0.4693,0.4777,0.4735,0.6040,0.5871,0.5954,0.3738,0.3197,0.3446,743,1225,1279,2026-01-19T04:02:52.564791
8,test,0.5795,0.5599,0.5695,0.4717,0.4923,0.4818,0.5152,0.4964,0.5056,0.3805,0.3294,0.3531,678,1170,1211,2026-01-19T04:05:04.869127
9,dev,0.6080,0.5856,0.5966,0.4796,0.4732,0.4764,0.5908,0.6366,0.6128,0.3986,0.3115,0.3497,749,1232,1279,2026-01-19T04:25:07.892532
9,test,0.5921,0.5681,0.5799,0.5098,0.5120,0.5109,0.5011,0.5401,0.5199,0.4038,0.3061,0.3483,688,1162,1211,2026-01-19T04:27:20.279332
10,dev,0.5992,0.5880,0.5935,0.4642,0.4777,0.4708,0.5638,0.6366,0.5980,0.4242,0.3060,0.3556,752,1255,1279,2026-01-19T04:47:23.116293
10,test,0.5767,0.5714,0.5740,0.4794,0.5098,0.4942,0.4837,0.5401,0.5103,0.4039,0.3003,0.3445,692,1200,1211,2026-01-19T04:49:35.390852
10,test,0.5767,0.5714,0.5740,0.4794,0.5098,0.4942,0.4837,0.5401,0.5103,0.4039,0.3003,0.3445,692,1200,1211,2026-01-19T04:51:47.762175
