epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4101,0.3675,0.3876,0.2274,0.2746,0.2487,0.5012,0.4581,0.4787,0.2278,0.1120,0.1502,470,1146,1279,2026-01-18T02:48:48.430037
1,test,0.4022,0.3361,0.3662,0.2817,0.3260,0.3022,0.3939,0.3163,0.3509,0.3072,0.1370,0.1895,407,1012,1211,2026-01-18T02:50:59.928136
2,dev,0.5365,0.4832,0.5084,0.3479,0.3371,0.3424,0.5889,0.5699,0.5792,0.3246,0.2377,0.2744,618,1152,1279,2026-01-18T03:11:00.774050
2,test,0.5261,0.4410,0.4798,0.4163,0.3698,0.3917,0.5116,0.4307,0.4676,0.2890,0.2216,0.2508,534,1015,1211,2026-01-18T03:13:12.171791
3,dev,0.5660,0.5465,0.5561,0.4187,0.3906,0.4042,0.6189,0.6043,0.6115,0.3140,0.3115,0.3128,699,1235,1279,2026-01-18T03:33:12.881788
3,test,0.5588,0.5178,0.5375,0.4567,0.4267,0.4412,0.5496,0.4720,0.5079,0.3246,0.3236,0.3241,627,1122,1211,2026-01-18T03:35:24.582984
4,dev,0.5633,0.5426,0.5528,0.4396,0.3817,0.4086,0.6112,0.6086,0.6099,0.3132,0.3251,0.3190,694,1232,1279,2026-01-18T03:55:25.118900
4,test,0.5564,0.5136,0.5341,0.4862,0.4245,0.4533,0.5412,0.4793,0.5084,0.3155,0.3265,0.3209,622,1118,1211,2026-01-18T03:57:36.599269
5,dev,0.5835,0.5629,0.5730,0.4319,0.4531,0.4423,0.6167,0.6194,0.6180,0.3805,0.3087,0.3409,720,1234,1279,2026-01-18T04:17:37.330718
5,test,0.5819,0.5367,0.5584,0.4747,0.4923,0.4834,0.5596,0.4915,0.5233,0.3723,0.3061,0.3360,650,1117,1211,2026-01-18T04:19:48.827229
6,dev,0.5873,0.5841,0.5857,0.4412,0.4777,0.4587,0.6321,0.6430,0.6375,0.3790,0.3251,0.3500,747,1272,1279,2026-01-18T04:39:49.571424
6,test,0.5906,0.5681,0.5791,0.4760,0.4989,0.4872,0.5622,0.5280,0.5445,0.3667,0.3207,0.3421,688,1165,1211,2026-01-18T04:42:01.090396
7,dev,0.6264,0.5927,0.6091,0.4730,0.4888,0.4808,0.6440,0.6301,0.6370,0.4041,0.3224,0.3587,758,1210,1279,2026-01-18T05:02:02.045333
7,test,0.6252,0.5772,0.6003,0.5011,0.5208,0.5107,0.6006,0.5231,0.5592,0.4175,0.3469,0.3790,699,1118,1211,2026-01-18T05:04:13.693516
8,dev,0.6133,0.5927,0.6028,0.4637,0.4710,0.4673,0.6062,0.6688,0.6360,0.4552,0.3333,0.3849,758,1236,1279,2026-01-18T05:24:14.233024
8,test,0.6176,0.5789,0.5976,0.5032,0.5164,0.5097,0.5728,0.5645,0.5686,0.4406,0.3353,0.3808,701,1135,1211,2026-01-18T05:26:25.804228
9,dev,0.6090,0.5919,0.6003,0.4513,0.4754,0.4630,0.6030,0.6860,0.6419,0.4628,0.3060,0.3684,757,1243,1279,2026-01-18T05:46:26.825650
9,test,0.6040,0.5780,0.5907,0.4798,0.5186,0.4984,0.5482,0.5815,0.5643,0.4454,0.2974,0.3566,700,1159,1211,2026-01-18T05:48:38.657714
10,dev,0.6138,0.6200,0.6169,0.4553,0.5112,0.4816,0.6187,0.6839,0.6496,0.4582,0.3443,0.3931,793,1292,1279,2026-01-18T06:08:39.221327
10,test,0.6196,0.6119,0.6157,0.5010,0.5449,0.5220,0.5497,0.5791,0.5640,0.4248,0.3294,0.3711,741,1196,1211,2026-01-18T06:10:50.776411
10,test,0.6196,0.6119,0.6157,0.5010,0.5449,0.5220,0.5497,0.5791,0.5640,0.4248,0.3294,0.3711,741,1196,1211,2026-01-18T06:13:02.322247
