epoch,step,loss,timestamp
1,100,1.328896,2026-01-17T22:46:06.048648
1,200,1.063998,2026-01-17T22:49:40.289954
1,300,0.942478,2026-01-17T22:53:14.547165
1,400,0.874716,2026-01-17T22:56:48.766865
1,500,0.857768,2026-01-17T23:00:22.957496
2,100,0.795674,2026-01-17T23:08:19.453958
2,200,0.741753,2026-01-17T23:11:53.585586
2,300,0.693310,2026-01-17T23:15:27.725544
2,400,0.640676,2026-01-17T23:19:01.794125
2,500,0.622083,2026-01-17T23:22:35.994728
3,100,0.611964,2026-01-17T23:30:32.454738
3,200,0.579737,2026-01-17T23:34:06.558158
3,300,0.541993,2026-01-17T23:37:40.732614
3,400,0.504508,2026-01-17T23:41:14.829989
3,500,0.503844,2026-01-17T23:44:48.958432
4,100,0.495833,2026-01-17T23:52:45.720322
4,200,0.477429,2026-01-17T23:56:19.927940
4,300,0.451118,2026-01-17T23:59:54.114060
4,400,0.425155,2026-01-18T00:03:28.310763
4,500,0.415879,2026-01-18T00:07:02.447357
5,100,0.418917,2026-01-18T00:14:58.943679
5,200,0.408959,2026-01-18T00:18:33.038017
5,300,0.383373,2026-01-18T00:22:07.097914
5,400,0.369917,2026-01-18T00:25:41.241460
5,500,0.360313,2026-01-18T00:29:15.432213
6,100,0.349924,2026-01-18T00:37:12.293379
6,200,0.353009,2026-01-18T00:40:46.316941
6,300,0.336386,2026-01-18T00:44:20.455548
6,400,0.313029,2026-01-18T00:47:54.508725
6,500,0.321263,2026-01-18T00:51:28.615286
7,100,0.313483,2026-01-18T00:59:25.375916
7,200,0.316141,2026-01-18T01:02:59.519028
7,300,0.297811,2026-01-18T01:06:33.652712
7,400,0.282343,2026-01-18T01:10:07.832915
7,500,0.279302,2026-01-18T01:13:41.970543
8,100,0.269159,2026-01-18T01:21:38.712591
8,200,0.280113,2026-01-18T01:25:12.887817
8,300,0.260066,2026-01-18T01:28:46.994004
8,400,0.257307,2026-01-18T01:32:21.016140
8,500,0.255345,2026-01-18T01:35:55.104245
9,100,0.247597,2026-01-18T01:43:52.125157
9,200,0.247014,2026-01-18T01:47:26.310997
9,300,0.241201,2026-01-18T01:51:00.451753
9,400,0.235865,2026-01-18T01:54:34.540835
9,500,0.231843,2026-01-18T01:58:08.670937
10,100,0.217510,2026-01-18T02:06:05.545768
10,200,0.236337,2026-01-18T02:09:39.724627
10,300,0.230168,2026-01-18T02:13:13.747890
10,400,0.214495,2026-01-18T02:16:47.824071
10,500,0.218903,2026-01-18T02:20:21.954272
