epoch,step,loss,timestamp
1,100,1.636882,2026-01-21T21:16:49.121613
1,200,1.406203,2026-01-21T21:20:23.923271
1,300,1.228323,2026-01-21T21:23:58.809834
1,400,1.214498,2026-01-21T21:27:33.613900
1,500,1.095493,2026-01-21T21:31:08.368085
2,100,1.029009,2026-01-21T21:39:10.989624
2,200,1.005868,2026-01-21T21:42:45.780901
2,300,0.903413,2026-01-21T21:46:20.542485
2,400,0.941742,2026-01-21T21:49:55.308202
2,500,0.829922,2026-01-21T21:53:30.210783
3,100,0.800153,2026-01-21T22:01:32.670911
3,200,0.814459,2026-01-21T22:05:07.435991
3,300,0.723367,2026-01-21T22:08:42.321490
3,400,0.773824,2026-01-21T22:12:17.110041
3,500,0.682893,2026-01-21T22:15:51.931430
4,100,0.674125,2026-01-21T22:23:54.409511
4,200,0.702705,2026-01-21T22:27:29.155741
4,300,0.609244,2026-01-21T22:31:04.000362
4,400,0.652715,2026-01-21T22:34:38.694350
4,500,0.596957,2026-01-21T22:38:13.411735
5,100,0.593291,2026-01-21T22:46:15.832793
5,200,0.596048,2026-01-21T22:49:50.713045
5,300,0.529924,2026-01-21T22:53:25.523181
5,400,0.561264,2026-01-21T22:57:00.341624
5,500,0.525300,2026-01-21T23:00:35.128041
6,100,0.521044,2026-01-21T23:08:37.626001
6,200,0.529334,2026-01-21T23:12:12.456460
6,300,0.463258,2026-01-21T23:15:47.250619
6,400,0.498062,2026-01-21T23:19:22.095761
6,500,0.458012,2026-01-21T23:22:56.823372
7,100,0.453784,2026-01-21T23:30:59.560679
7,200,0.471978,2026-01-21T23:34:34.389984
7,300,0.407185,2026-01-21T23:38:09.176575
7,400,0.450773,2026-01-21T23:41:43.896404
7,500,0.412972,2026-01-21T23:45:18.757016
8,100,0.402660,2026-01-21T23:53:21.240367
8,200,0.409196,2026-01-21T23:56:56.065604
8,300,0.360265,2026-01-22T00:00:30.938376
8,400,0.407304,2026-01-22T00:04:05.770268
8,500,0.372939,2026-01-22T00:07:40.482873
9,100,0.358650,2026-01-22T00:15:43.131293
9,200,0.385126,2026-01-22T00:19:18.012427
9,300,0.321405,2026-01-22T00:22:52.722650
9,400,0.373894,2026-01-22T00:26:27.492025
9,500,0.340712,2026-01-22T00:30:02.335163
10,100,0.341406,2026-01-22T00:38:05.102133
10,200,0.353902,2026-01-22T00:41:39.851616
10,300,0.301286,2026-01-22T00:45:14.571193
10,400,0.351493,2026-01-22T00:48:49.387991
10,500,0.320930,2026-01-22T00:52:24.214350
