epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.3899,0.2768,0.3237,0.2127,0.1875,0.1993,0.3456,0.3441,0.3448,0.1957,0.0246,0.0437,354,908,1279,2026-01-22T08:54:50.223571
1,test,0.3429,0.2370,0.2803,0.2079,0.1838,0.1951,0.2437,0.2360,0.2398,0.1935,0.0175,0.0321,287,837,1211,2026-01-22T08:57:07.374917
2,dev,0.5672,0.4949,0.5286,0.4800,0.1339,0.2094,0.3943,0.6258,0.4838,0.3770,0.2514,0.3016,633,1116,1279,2026-01-22T09:17:14.788025
2,test,0.5621,0.4674,0.5104,0.4486,0.1050,0.1702,0.3213,0.5207,0.3974,0.4097,0.2711,0.3263,566,1007,1211,2026-01-22T09:19:27.543821
3,dev,0.5617,0.5340,0.5475,0.4606,0.3259,0.3817,0.4563,0.6624,0.5404,0.4408,0.2541,0.3224,683,1216,1279,2026-01-22T09:39:34.650905
3,test,0.5516,0.5078,0.5288,0.4430,0.3063,0.3622,0.3752,0.5450,0.4444,0.4767,0.2682,0.3433,615,1115,1211,2026-01-22T09:41:47.322174
4,dev,0.5924,0.5238,0.5560,0.4585,0.3951,0.4245,0.5373,0.6344,0.5819,0.4895,0.2541,0.3345,670,1131,1279,2026-01-22T10:01:54.044753
4,test,0.5922,0.5012,0.5429,0.4459,0.3611,0.3990,0.4578,0.5280,0.4904,0.5673,0.2828,0.3774,607,1025,1211,2026-01-22T10:04:06.662859
5,dev,0.5997,0.5457,0.5714,0.4205,0.4487,0.4341,0.5901,0.6129,0.6013,0.5127,0.2760,0.3588,698,1164,1279,2026-01-22T10:24:13.482929
5,test,0.5795,0.5268,0.5519,0.3996,0.4267,0.4127,0.5169,0.5207,0.5188,0.5236,0.2915,0.3745,638,1101,1211,2026-01-22T10:26:26.117091
6,dev,0.6262,0.5567,0.5894,0.4103,0.4643,0.4356,0.6659,0.6129,0.6383,0.5635,0.3033,0.3943,712,1137,1279,2026-01-22T10:46:33.389756
6,test,0.6190,0.5367,0.5750,0.4019,0.4530,0.4259,0.5836,0.5012,0.5393,0.5778,0.3032,0.3977,650,1050,1211,2026-01-22T10:48:46.254077
7,dev,0.6793,0.6177,0.6470,0.4701,0.5446,0.5047,0.6667,0.5849,0.6231,0.5342,0.3415,0.4167,790,1163,1279,2026-01-22T11:08:52.842655
7,test,0.6743,0.6102,0.6407,0.4787,0.5646,0.5181,0.5936,0.4939,0.5392,0.5519,0.3411,0.4216,739,1096,1211,2026-01-22T11:11:05.483726
8,dev,0.6834,0.6278,0.6544,0.5010,0.5379,0.5188,0.6806,0.6323,0.6555,0.5115,0.3634,0.4249,803,1175,1279,2026-01-22T11:31:12.126473
8,test,0.6772,0.6168,0.6456,0.5050,0.5558,0.5292,0.5983,0.5182,0.5554,0.5104,0.3586,0.4212,747,1103,1211,2026-01-22T11:33:24.837881
9,dev,0.6691,0.6435,0.6560,0.4930,0.5491,0.5195,0.6427,0.6344,0.6385,0.5111,0.3770,0.4340,823,1230,1279,2026-01-22T11:53:31.884803
9,test,0.6726,0.6292,0.6502,0.4933,0.5602,0.5246,0.5833,0.5280,0.5543,0.5294,0.3673,0.4337,762,1133,1211,2026-01-22T11:55:44.504477
10,dev,0.6702,0.6403,0.6549,0.5257,0.5246,0.5251,0.6354,0.6559,0.6455,0.4932,0.3934,0.4377,819,1222,1279,2026-01-22T12:15:51.358580
10,test,0.6711,0.6185,0.6437,0.5425,0.5449,0.5437,0.5682,0.5474,0.5576,0.4961,0.3703,0.4240,749,1116,1211,2026-01-22T12:18:04.010457
10,test,0.6711,0.6185,0.6437,0.5425,0.5449,0.5437,0.5682,0.5474,0.5576,0.4961,0.3703,0.4240,749,1116,1211,2026-01-22T12:20:16.692348
