epoch,step,loss,timestamp
1,100,1.656540,2026-01-21T06:05:13.881676
1,200,1.398223,2026-01-21T06:08:48.160213
1,300,1.230675,2026-01-21T06:12:22.450241
1,400,1.177412,2026-01-21T06:15:56.835552
1,500,1.059114,2026-01-21T06:19:31.233303
2,100,0.987633,2026-01-21T06:27:30.105902
2,200,0.960611,2026-01-21T06:31:04.513168
2,300,0.861190,2026-01-21T06:34:39.049598
2,400,0.875150,2026-01-21T06:38:13.483476
2,500,0.775688,2026-01-21T06:41:47.961340
3,100,0.773670,2026-01-21T06:49:46.935311
3,200,0.764706,2026-01-21T06:53:21.365724
3,300,0.694111,2026-01-21T06:56:55.669311
3,400,0.737306,2026-01-21T07:00:29.969654
3,500,0.652337,2026-01-21T07:04:04.344574
4,100,0.661637,2026-01-21T07:12:03.136956
4,200,0.660334,2026-01-21T07:15:37.555930
4,300,0.599515,2026-01-21T07:19:11.805238
4,400,0.638059,2026-01-21T07:22:46.059446
4,500,0.568831,2026-01-21T07:26:20.417926
5,100,0.582420,2026-01-21T07:34:19.319128
5,200,0.581881,2026-01-21T07:37:53.743347
5,300,0.516977,2026-01-21T07:41:28.073646
5,400,0.568398,2026-01-21T07:45:02.396019
5,500,0.504908,2026-01-21T07:48:36.651135
6,100,0.521081,2026-01-21T07:56:35.531607
6,200,0.514490,2026-01-21T08:00:09.937124
6,300,0.463909,2026-01-21T08:03:44.236906
6,400,0.499927,2026-01-21T08:07:18.598180
6,500,0.454339,2026-01-21T08:10:52.966123
7,100,0.475979,2026-01-21T08:18:51.633456
7,200,0.472575,2026-01-21T08:22:25.892962
7,300,0.411108,2026-01-21T08:26:00.215860
7,400,0.441482,2026-01-21T08:29:34.465566
7,500,0.408290,2026-01-21T08:33:08.851798
8,100,0.423885,2026-01-21T08:41:07.821283
8,200,0.407025,2026-01-21T08:44:42.114623
8,300,0.372996,2026-01-21T08:48:16.524227
8,400,0.408965,2026-01-21T08:51:50.827296
8,500,0.378290,2026-01-21T08:55:25.109193
9,100,0.387255,2026-01-21T09:03:24.169510
9,200,0.385513,2026-01-21T09:06:58.533338
9,300,0.345638,2026-01-21T09:10:32.848639
9,400,0.384875,2026-01-21T09:14:07.233549
9,500,0.349520,2026-01-21T09:17:41.541580
10,100,0.367258,2026-01-21T09:25:40.414320
10,200,0.346726,2026-01-21T09:29:14.767378
10,300,0.326461,2026-01-21T09:32:49.130281
10,400,0.358890,2026-01-21T09:36:23.436533
10,500,0.337550,2026-01-21T09:39:57.745808
