epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.5122,0.3776,0.4347,0.2955,0.2321,0.2600,0.4396,0.3677,0.4005,0.3838,0.1940,0.2577,483,943,1279,2026-01-21T02:35:00.410158
1,test,0.5247,0.3865,0.4451,0.3042,0.2516,0.2754,0.3758,0.3017,0.3347,0.4529,0.2245,0.3002,468,892,1211,2026-01-21T02:37:12.608054
2,dev,0.5420,0.4285,0.4786,0.4229,0.1897,0.2619,0.4367,0.5118,0.4713,0.3922,0.2732,0.3221,548,1011,1279,2026-01-21T02:57:15.871043
2,test,0.5473,0.4344,0.4843,0.3899,0.1860,0.2519,0.3669,0.4258,0.3941,0.3985,0.3032,0.3444,526,961,1211,2026-01-21T02:59:28.202565
3,dev,0.5218,0.5051,0.5133,0.4643,0.2612,0.3343,0.4344,0.5763,0.4954,0.3353,0.3142,0.3244,646,1238,1279,2026-01-21T03:19:31.247965
3,test,0.5381,0.5136,0.5256,0.4444,0.2626,0.3301,0.3717,0.4866,0.4215,0.3879,0.3732,0.3804,622,1156,1211,2026-01-21T03:21:43.561593
4,dev,0.6009,0.5379,0.5677,0.5144,0.3192,0.3939,0.4792,0.5699,0.5206,0.4223,0.3415,0.3776,688,1145,1279,2026-01-21T03:41:46.145312
4,test,0.5993,0.5384,0.5672,0.4744,0.3042,0.3707,0.4247,0.5012,0.4598,0.4252,0.3732,0.3975,652,1088,1211,2026-01-21T03:43:58.294649
5,dev,0.6355,0.5520,0.5908,0.5539,0.4129,0.4731,0.5495,0.5849,0.5667,0.4607,0.3361,0.3886,706,1111,1279,2026-01-21T04:04:01.008739
5,test,0.6216,0.5425,0.5794,0.5237,0.4114,0.4608,0.4977,0.5280,0.5124,0.4506,0.3324,0.3826,657,1057,1211,2026-01-21T04:06:13.351594
6,dev,0.6458,0.5575,0.5984,0.5193,0.4509,0.4827,0.5523,0.6022,0.5761,0.5309,0.2814,0.3679,713,1104,1279,2026-01-21T04:26:15.953197
6,test,0.6242,0.5500,0.5847,0.4884,0.4595,0.4735,0.4920,0.5207,0.5059,0.5521,0.3090,0.3963,666,1067,1211,2026-01-21T04:28:28.305215
7,dev,0.6558,0.5661,0.6076,0.5084,0.4732,0.4902,0.6247,0.5871,0.6053,0.5042,0.3306,0.3993,724,1104,1279,2026-01-21T04:48:31.153830
7,test,0.6375,0.5665,0.5999,0.4744,0.4858,0.4800,0.5553,0.5012,0.5269,0.4955,0.3207,0.3894,686,1076,1211,2026-01-21T04:50:43.679975
8,dev,0.6522,0.5895,0.6193,0.4619,0.4866,0.4739,0.6094,0.5570,0.5820,0.5500,0.3607,0.4356,754,1156,1279,2026-01-21T05:10:46.442292
8,test,0.6367,0.5789,0.6064,0.4481,0.5011,0.4731,0.5462,0.4891,0.5160,0.5407,0.3294,0.4094,701,1101,1211,2026-01-21T05:12:58.698355
9,dev,0.6525,0.6020,0.6263,0.4977,0.4866,0.4921,0.6149,0.6043,0.6095,0.5399,0.4071,0.4642,770,1180,1279,2026-01-21T05:33:01.735423
9,test,0.6477,0.6012,0.6236,0.4828,0.5208,0.5011,0.5521,0.5158,0.5333,0.5272,0.3673,0.4330,728,1124,1211,2026-01-21T05:35:14.036253
10,dev,0.6582,0.6067,0.6314,0.5314,0.4911,0.5104,0.6175,0.6215,0.6195,0.5105,0.3989,0.4479,776,1179,1279,2026-01-21T05:55:16.779520
10,test,0.6470,0.5979,0.6215,0.4978,0.5033,0.5005,0.5564,0.5280,0.5418,0.5155,0.3878,0.4426,724,1119,1211,2026-01-21T05:57:28.984260
10,test,0.6470,0.5979,0.6215,0.4978,0.5033,0.5005,0.5564,0.5280,0.5418,0.5155,0.3878,0.4426,724,1119,1211,2026-01-21T05:59:41.216265
