epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.5716,0.3245,0.4140,0.3586,0.1585,0.2198,0.4699,0.4366,0.4526,0.4062,0.1066,0.1688,415,726,1279,2026-01-20T11:29:00.945806
1,test,0.5640,0.3055,0.3964,0.3061,0.1313,0.1838,0.3776,0.3528,0.3648,0.4211,0.0933,0.1527,370,656,1211,2026-01-20T11:31:11.870603
2,dev,0.5822,0.5207,0.5497,0.4817,0.2344,0.3153,0.4518,0.5849,0.5098,0.3796,0.3361,0.3565,666,1144,1279,2026-01-20T11:51:11.628391
2,test,0.5917,0.5062,0.5456,0.5091,0.2451,0.3309,0.3864,0.4964,0.4345,0.3924,0.3294,0.3582,613,1036,1211,2026-01-20T11:53:22.749709
3,dev,0.6009,0.5379,0.5677,0.5180,0.3214,0.3967,0.5071,0.6129,0.5550,0.4000,0.3333,0.3636,688,1145,1279,2026-01-20T12:13:22.220877
3,test,0.5910,0.5070,0.5458,0.4818,0.3195,0.3842,0.4253,0.4915,0.4560,0.4176,0.3178,0.3609,614,1039,1211,2026-01-20T12:15:33.411001
4,dev,0.6007,0.5481,0.5732,0.4821,0.3616,0.4133,0.5371,0.6387,0.5835,0.4245,0.3224,0.3665,701,1167,1279,2026-01-20T12:35:33.129746
4,test,0.5905,0.5252,0.5559,0.4615,0.3676,0.4093,0.4684,0.5231,0.4943,0.4685,0.3469,0.3987,636,1077,1211,2026-01-20T12:37:44.443181
5,dev,0.6083,0.5403,0.5723,0.4452,0.4174,0.4309,0.5451,0.6237,0.5817,0.5489,0.2760,0.3673,691,1136,1279,2026-01-20T12:57:43.740120
5,test,0.5979,0.5219,0.5573,0.4286,0.4136,0.4209,0.4787,0.5182,0.4977,0.6140,0.3061,0.4086,632,1057,1211,2026-01-20T12:59:54.969824
6,dev,0.6236,0.5817,0.6019,0.4170,0.4821,0.4472,0.6272,0.6258,0.6265,0.5308,0.3060,0.3882,744,1193,1279,2026-01-20T13:19:54.845211
6,test,0.6080,0.5533,0.5793,0.4087,0.4748,0.4393,0.5431,0.5061,0.5239,0.5904,0.3236,0.4181,670,1102,1211,2026-01-20T13:22:06.047009
7,dev,0.6525,0.6020,0.6263,0.4311,0.4955,0.4611,0.6400,0.6194,0.6295,0.5767,0.3388,0.4269,770,1180,1279,2026-01-20T13:42:05.971538
7,test,0.6495,0.5937,0.6204,0.4576,0.5317,0.4919,0.6011,0.5207,0.5580,0.5455,0.3499,0.4263,719,1107,1211,2026-01-20T13:44:17.257608
8,dev,0.6751,0.6286,0.6510,0.4865,0.5223,0.5038,0.6486,0.6430,0.6458,0.5341,0.3634,0.4325,804,1191,1279,2026-01-20T14:04:17.125755
8,test,0.6842,0.6226,0.6520,0.5216,0.5558,0.5381,0.6032,0.5474,0.5740,0.5248,0.3703,0.4342,754,1102,1211,2026-01-20T14:06:28.449648
9,dev,0.6699,0.6411,0.6552,0.5261,0.5402,0.5330,0.6194,0.6581,0.6382,0.5222,0.3852,0.4434,820,1224,1279,2026-01-20T14:26:28.377433
9,test,0.6784,0.6375,0.6573,0.5364,0.5646,0.5501,0.5871,0.5742,0.5806,0.5176,0.3848,0.4415,772,1138,1211,2026-01-20T14:28:39.613935
10,dev,0.6868,0.6396,0.6623,0.5506,0.5223,0.5361,0.6334,0.6688,0.6506,0.5127,0.3852,0.4399,818,1191,1279,2026-01-20T14:48:39.156188
10,test,0.7015,0.6325,0.6652,0.5649,0.5427,0.5536,0.6051,0.5815,0.5931,0.5271,0.3965,0.4526,766,1092,1211,2026-01-20T14:50:50.640323
10,test,0.7015,0.6325,0.6652,0.5649,0.5427,0.5536,0.6051,0.5815,0.5931,0.5271,0.3965,0.4526,766,1092,1211,2026-01-20T14:53:01.980808
