epoch,step,loss,timestamp
1,100,1.571468,2026-01-20T07:25:24.398657
1,200,1.341061,2026-01-20T07:28:59.146283
1,300,1.180978,2026-01-20T07:32:33.975357
1,400,1.163915,2026-01-20T07:36:08.600570
1,500,1.055376,2026-01-20T07:39:43.342931
2,100,0.984920,2026-01-20T07:47:42.865785
2,200,0.963696,2026-01-20T07:51:17.556603
2,300,0.858846,2026-01-20T07:54:52.334475
2,400,0.906160,2026-01-20T07:58:27.083079
2,500,0.811458,2026-01-20T08:02:01.819613
3,100,0.775206,2026-01-20T08:10:01.519766
3,200,0.777064,2026-01-20T08:13:36.252658
3,300,0.697937,2026-01-20T08:17:10.996883
3,400,0.746486,2026-01-20T08:20:45.748743
3,500,0.671638,2026-01-20T08:24:20.508016
4,100,0.653558,2026-01-20T08:32:20.534242
4,200,0.678970,2026-01-20T08:35:55.300314
4,300,0.596406,2026-01-20T08:39:29.888380
4,400,0.642150,2026-01-20T08:43:04.645720
4,500,0.595112,2026-01-20T08:46:39.284432
5,100,0.585721,2026-01-20T08:54:38.840644
5,200,0.576687,2026-01-20T08:58:13.644410
5,300,0.520876,2026-01-20T09:01:48.344641
5,400,0.552287,2026-01-20T09:05:23.062087
5,500,0.519668,2026-01-20T09:08:57.818775
6,100,0.516807,2026-01-20T09:16:57.435586
6,200,0.511655,2026-01-20T09:20:32.189930
6,300,0.451029,2026-01-20T09:24:06.909892
6,400,0.487958,2026-01-20T09:27:41.560092
6,500,0.456153,2026-01-20T09:31:16.166159
7,100,0.448086,2026-01-20T09:39:16.236769
7,200,0.450740,2026-01-20T09:42:50.949001
7,300,0.398314,2026-01-20T09:46:25.747978
7,400,0.447438,2026-01-20T09:50:00.458209
7,500,0.413782,2026-01-20T09:53:35.162979
8,100,0.399449,2026-01-20T10:01:35.173310
8,200,0.397214,2026-01-20T10:05:09.903657
8,300,0.347129,2026-01-20T10:08:44.598831
8,400,0.401531,2026-01-20T10:12:19.242448
8,500,0.370834,2026-01-20T10:15:53.990645
9,100,0.354261,2026-01-20T10:23:53.957268
9,200,0.377202,2026-01-20T10:27:28.764087
9,300,0.316645,2026-01-20T10:31:03.538289
9,400,0.375150,2026-01-20T10:34:38.162059
9,500,0.343168,2026-01-20T10:38:12.915258
10,100,0.339344,2026-01-20T10:46:12.868913
10,200,0.345023,2026-01-20T10:49:47.613931
10,300,0.295526,2026-01-20T10:53:22.338736
10,400,0.353724,2026-01-20T10:56:57.062482
10,500,0.319269,2026-01-20T11:00:31.750596
